company_linkedin_tag,linkedin_url,name,domain,website,segment,icp_confidence,tier,size_band,employees_on_linkedin,industry,company_type,founded_year,hq_city,hq_state,hq_country,payroll_evidence,hiring_payroll_roles,sources
pkf-international-limited,https://www.linkedin.com/company/pkf-international-limited,PKF Global,pkf.com,http://www.pkf.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,879,Accounting,NON_PROFIT,1969,London,England,GB,accountancy; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom
johnston-carmichael-chartered-accountants-and-business-advisers,https://www.linkedin.com/company/johnston-carmichael-chartered-accountants-and-business-advisers,Johnston Carmichael Chartered Accountants and Business Advisers,johnstoncarmichael.com,https://johnstoncarmichael.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,862,Accounting,PARTNERSHIP,1936,Aberdeen,-,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom
dunn-motor-traction-ltd-t-a-yourbus,https://www.linkedin.com/company/dunn-motor-traction-ltd-t-a-yourbus,Looking for new opportunities,-,https://springboardaccounting.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,854,Accounting,Private,-,Nottingham,England,GB,accounting services,-,pros-ind::Accounting::United Kingdom
francis-clark-chartered-accountants,https://www.linkedin.com/company/francis-clark-chartered-accountants,PKF-Francis Clark Chartered accountants & business advisers,pkf-francisclark.co.uk,http://www.pkf-francisclark.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,754,Accounting,PARTNERSHIP,1919,Exeter,England,GB,chartered accountants; accountants; accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
kaplan_uk,https://www.linkedin.com/company/kaplan_uk,Kaplan UK,kaplan.co.uk,https://kaplan.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,722,Professional Training and Coaching,Private,-,London,England,GB,accountancy,-,pros-ind::Financial Services::United Kingdom; pros-kw::bookkeeping::United Kingdom
littlejohn,https://www.linkedin.com/company/littlejohn,PKF Littlejohn,pkf-l.com,http://www.pkf-l.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,716,Accounting,PARTNERSHIP,-,London,England,GB,accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
haysmac,https://www.linkedin.com/company/haysmac,HaysMac,haysmac.com,https://haysmac.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,679,Accounting,Partnership,2001,London,London,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom
kreston-reeves,https://www.linkedin.com/company/kreston-reeves,Kreston Reeves,krestonreeves.com,https://www.krestonreeves.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,636,Accounting,Partnership,1821,London,England,GB,accountancy,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom
armstrong-watson,https://www.linkedin.com/company/armstrong-watson,Armstrong Watson,armstrongwatson.co.uk,https://armstrongwatson.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,631,Accounting,Private,-,Carlisle,England,GB,accountancy,-,pros-ind::Accounting::United Kingdom
km-chartered-accountants,https://www.linkedin.com/company/km-chartered-accountants,KM,kmaccountants.co.uk,http://www.kmaccountants.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,601,Accounting,PRIVATELY_HELD,1909,Burnley,Lancashire,GB,chartered accountants; accountants; accountancy; bookkeeping; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom
buzzacott,https://www.linkedin.com/company/buzzacott,Buzzacott,buzzacott.co.uk,https://buzzacott.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,591,Accounting,Private,-,London,England,GB,accountancy; accountancy firm,-,pros-ind::Accounting::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll::United Kingdom
begbies-traynor-group,https://www.linkedin.com/company/begbies-traynor-group,BTG Begbies Traynor,btguk.com,https://begbies-traynorgroup.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,586,Financial Services,Public,-,Manchester,England,GB,accountancy,-,pros-ind::Financial Services::United Kingdom
berg-kaprow-lewis-llp,https://www.linkedin.com/company/berg-kaprow-lewis-llp,BKL,bkl.co.uk,https://eu1.hubs.ly/H0rY7pq0,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,583,Accounting,PARTNERSHIP,1980,London,-,GB,accountants; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom; pros-kw::umbrella company::United Kingdom
affiniagroup,https://www.linkedin.com/company/affiniagroup,Affinia,affinia.co.uk,https://www.affinia.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,575,Accounting,Privately Held,1963,Colchester,Essex,GB,accountants; accountancy; accountancy firm,senior payroll,jobs::senior payroll; pros-ind::Accounting::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll::United Kingdom
bishop-fleming-chartered-accountants,https://www.linkedin.com/company/bishop-fleming-chartered-accountants,Bishop Fleming Chartered Accountants,bishopfleming.co.uk,https://www.bishopfleming.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,556,Accounting,PARTNERSHIP,1919,Bristol,-,GB,chartered accountants; accountants; accountancy; accounting firm,-,aiark-lookalike
djh-business-advisers,https://www.linkedin.com/company/djh-business-advisers,DJH,djhmittenclarke.co.uk,https://www.djh.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,541,Accounting,PRIVATELY_HELD,1997,Stoke On Trent,Staffordshire,GB,accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
bdo-ireland,https://www.linkedin.com/company/bdo-ireland,BDO Ireland,bdo.ie,http://www.bdo.ie,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,522,Accounting,PARTNERSHIP,1982,Dublin,-,IE,accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::Ireland
hellodext,https://www.linkedin.com/company/hellodext,Dext,receipt-bank.com,https://dext.com,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,519,Software Development,Private,-,London,England,GB,accountants; bookkeeping,-,pros-kw::bookkeeping::United Kingdom
hazlewoods,https://www.linkedin.com/company/hazlewoods,Hazlewoods,hazlewoods.co.uk,http://www.hazlewoods.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,515,Accounting,PARTNERSHIP,1919,Cheltenham,Gloucestershire,GB,chartered accountants; accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
outbooks,https://www.linkedin.com/company/outbooks,Outbooks,outbooks.com,https://outbooks.co.uk,accountancy-practice-payroll,high,enterprise-201plus,201-500,497,Business Consulting and Services,Private,-,Harrow,England,GB,payroll bureau; outsourced payroll; payroll outsourcing; payroll services; payroll processing,-,discolike::bureau-practice; pros-ind::Business Consulting and Services::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom; unknown
bk-plus,https://www.linkedin.com/company/bk-plus,bk plus,bkplus.co.uk,https://www.bkplus.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,501-1000,489,Accounting,Privately Held,2021,Aldridge,-,GB,accountants,payroll administrator; senior payroll,"jobs::payroll administrator,senior payroll; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom"
financial-reporting-council,https://www.linkedin.com/company/financial-reporting-council,Financial Reporting Council,frc.org.uk,https://frc.org.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,483,Accounting,Other,-,-,-,GB,accountants; accountancy,-,pros-ind::Accounting::United Kingdom
price-bailey,https://www.linkedin.com/company/price-bailey,Price Bailey,pricebailey.co.uk,https://www.pricebailey.co.uk/enquiry-form,accountancy-practice-payroll,medium,enterprise-201plus,201-500,482,Accounting,Privately Held,1938,"Bishop's Stortford, Cambridge, Norwich, London",-,GB,chartered accountants; accountants; accountancy; accountancy firm,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
streetss,https://www.linkedin.com/company/streetss,Streets,streets.uk,https://streets.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,464,Accounting,Private,-,-,-,GB,accountants; accountancy; tax advisers; accountancy firm,-,pros-ind::Accounting::United Kingdom
bhpaccountants,https://www.linkedin.com/company/bhpaccountants,"BHP, Chartered Accountants",bhp.co.uk,http://www.bhp.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,448,Accounting,PARTNERSHIP,1867,Sheffield,South Yorkshire,GB,chartered accountants; accountants; accountancy; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
parseq,https://www.linkedin.com/company/parseq,Parseq,parseq.com,https://parseq.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,443,Business Consulting and Services,Private,-,Rotherham,England,GB,accounting services,-,pros-ind::Business Consulting and Services::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
duncantoplis,https://www.linkedin.com/company/duncantoplis,Duncan & Toplis,duncantoplis.co.uk,https://duncantoplis.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,435,Accounting,PRIVATELY_HELD,1925,Grantham,Lincolnshire,GB,accountancy; accounting services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom
streetsaccountants,https://www.linkedin.com/company/streetsaccountants,Streets,streetsweb.co.uk,http://www.streets.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,427,Accounting,PARTNERSHIP,1907,Uk,-,GB,accountants; accountancy; tax advisers; accountancy firm,-,aiark-lookalike
oldmill,https://www.linkedin.com/company/oldmill,Old Mill,om.uk,https://om.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,426,Accounting,PRIVATELY_HELD,2006,Yeovil,Somerset,GB,accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
gravita-uk,https://www.linkedin.com/company/gravita-uk,Gravita,gravita.com,https://www.gravita.com,accountancy-practice-payroll,high,enterprise-201plus,201-500,408,Accounting,Privately Held,-,London,-,GB,managed payroll; outsourced payroll; payroll services,-,pros-ind::Accounting::United Kingdom; pros-kw::payroll services::United Kingdom; unknown
dainsacc,https://www.linkedin.com/company/dainsacc,Dains Accountants & Advisers,dains.com,https://dains.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,398,Accounting,Private,-,Birmingham,England,GB,accountants; accounting services,-,pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
mgr-weston-kay-llp,https://www.linkedin.com/company/mgr-weston-kay-llp,mgr,mgr.co.uk,https://mgr.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,395,Accounting,Private,-,London,England,GB,accountancy,-,pros-ind::Accounting::United Kingdom
richmond-accounting-advisory,https://www.linkedin.com/company/richmond-accounting-advisory,SKS Business Services,sksbusinessservices.com,https://www.raa-uk.com,accountancy-practice-payroll,high,enterprise-201plus,501-1000,370,Accounting,Privately Held,2008,London,Surrey,GB,managed payroll,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom; unknown
haines-watts,https://www.linkedin.com/company/haines-watts,Haines Watts,hwca.com,https://www.hwca.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,357,Accounting,PARTNERSHIP,1930,Swindon,Wiltshire,GB,chartered accountant; chartered accountants; accountants; bookkeeping,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom
shawgibbs,https://www.linkedin.com/company/shawgibbs,Shaw Gibbs,shawgibbs.com,https://www.shawgibbs.com,accountancy-practice-payroll,high,enterprise-201plus,501-1000,356,Accounting,Privately Held,1924,Oxford,-,GB,payroll services,payroll specialist,jobs::payroll specialist; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
accounting-firms,https://www.linkedin.com/company/accounting-firms,Accounting firms,-,https://accountingfirms.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,354,Accounting,Private,-,-,-,GB,accountants; accountancy,-,pros-ind::Accounting::United Kingdom
rawlinson-&-hunter,https://www.linkedin.com/company/rawlinson-&-hunter,Rawlinson & Hunter LLP,rawlinson-hunter.co.uk,http://www.rawlinson-hunter.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,353,Accounting,PRIVATELY_HELD,1933,London,London,GB,chartered accountants; accountants; accountancy; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
hw-fisher,https://www.linkedin.com/company/hw-fisher,"HW Fisher, part of the Sumer Group",hwfisher.co.uk,http://www.hwfisher.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,352,Accounting,PARTNERSHIP,1933,London,-,GB,accountancy practice; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
larking-gowen,https://www.linkedin.com/company/larking-gowen,Larking Gowen,larking-gowen.co.uk,http://www.larking-gowen.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,352,Accounting,PARTNERSHIP,1888,Norwich,England,GB,chartered accountants; accountants; accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom
russell-bedford-international,https://www.linkedin.com/company/russell-bedford-international,Russell Bedford International,russellbedford.com,https://russellbedford.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,301,Accounting,Private,-,London,England,GB,accountants; tax advisers,-,pros-ind::Accounting::United Kingdom
mercer-&-hole,https://www.linkedin.com/company/mercer-&-hole,Mercer & Hole,mercerhole.co.uk,https://www.mercerhole.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,298,Accounting,PARTNERSHIP,1905,London,England,GB,chartered accountants; accountants; accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
ensors,https://www.linkedin.com/company/ensors,Ensors,ensors.co.uk,http://www.ensors.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,282,Accounting,PARTNERSHIP,1889,Ipswich,Suffolk,GB,chartered accountants; accountants; accounting services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
pkfsmithcooper,https://www.linkedin.com/company/pkfsmithcooper,PKF Smith Cooper,pkfsmithcooper.com,http://www.pkfsmithcooper.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,269,Accounting,PARTNERSHIP,1985,Derby,Derbyshire,GB,accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom
unw-llp,https://www.linkedin.com/company/unw-llp,UNW,unw.co.uk,https://unw.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,252,Accounting,PARTNERSHIP,2003,Newcastle Upon Tyne,-,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
geraldedelman,https://www.linkedin.com/company/geraldedelman,Gerald Edelman,geraldedelman.com,https://www.geraldedelman.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,246,Accounting,PARTNERSHIP,1946,London,-,GB,accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
james-cowper-kreston,https://www.linkedin.com/company/james-cowper-kreston,James Cowper Kreston,jamescowperkreston.co.uk,https://www.jamescowperkreston.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,244,Accounting,PARTNERSHIP,1922,Newbury,Berkshire,GB,accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
monahans,https://www.linkedin.com/company/monahans,"Monahans, Part of the Sumer Group",monahans.co.uk,https://www.monahans.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,244,Accounting,PRIVATELY_HELD,-,Swindon,Wiltshire,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
xeinadinireland,https://www.linkedin.com/company/xeinadinireland,Xeinadin Ireland,xeinadin.ie,https://xeinadin.ie,accountancy-practice-payroll,high,enterprise-201plus,1001-5000,241,Accounting,Privately Held,2019,Dublin,-,IE,payroll services,-,ind::Accounting::IE; pros-ind::Accounting::Ireland; pros-kw::bookkeeping::Ireland; pros-kw::payroll services::Ireland; pros-kw::payroll::Ireland
aims-accountants-for-business,https://www.linkedin.com/company/aims-accountants-for-business,AIMS Accountants for Business,aims.co.uk,https://www.aims.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,238,Accounting,PRIVATELY_HELD,1993,London,-,GB,accountants; accountancy; bookkeeping; accountancy services,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll solutions::United Kingdom
srlv,https://www.linkedin.com/company/srlv,SRLV,srlv.co.uk,https://www.srlv.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,238,Accounting,Partnership,1988,London,-,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; kw::payroll services::GB; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
carpenter-box,https://www.linkedin.com/company/carpenter-box,"Carpenter Box, part of the Sumer Group",carpenterbox.com,http://www.carpenterbox.com,accountancy-practice-payroll,medium,enterprise-201plus,201-500,230,Accounting,PRIVATELY_HELD,1924,Worthing,West Sussex,GB,chartered accountants; accountancy practice; accountants; accountancy; tax advisers; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
finance-department,https://www.linkedin.com/company/finance-department,Finance Department,-,https://finance-department.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,228,Accounting,Private,-,Exeter,England,GB,accountancy; bookkeeping,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll::United Kingdom
mws,https://www.linkedin.com/company/mws,MWS,mws-accounts.co.uk,https://mws-accountants.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,227,Accounting,Private,-,-,-,GB,accountancy; accountancy firm,-,pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom
asa-recruitment,https://www.linkedin.com/company/asa-recruitment,ASA RECRUITMENT,asarecruitment.co.uk,http://www.asarecruitment.co.uk,accountancy-practice-payroll,high,enterprise-201plus,201-500,225,Staffing And Recruiting,PRIVATELY_HELD,1970,Edinburgh,-,GB,payroll services,-,aiark-lookalike; pros-ind::Staffing and Recruiting::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
cowgills,https://www.linkedin.com/company/cowgills,"Cowgills, part of the Sumer Group",cowgills.co.uk,http://www.cowgills.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,225,Accounting,PARTNERSHIP,1983,Bolton,-,GB,accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom
hooplegroup,https://www.linkedin.com/company/hooplegroup,Hoople Group,hoopleltd.co.uk,https://www.hoopleltd.co.uk,accountancy-practice-payroll,high,enterprise-201plus,501-1000,220,Business Consulting and Services,Privately Held,2011,Hereford,Herefordshire,GB,payroll services,bureau payroll; payroll advisor,"jobs::bureau payroll,payroll advisor; pros-ind::Accounting::United Kingdom; pros-ind::Business Consulting and Services::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom"
hsj-accountants,https://www.linkedin.com/company/hsj-accountants,"HSJ Accountants, Business & Tax Advisors",hsj.uk.com,https://hsjaccountants.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,217,Accounting,Private,-,Newport,Wales,GB,accountants,-,pros-ind::Accounting::United Kingdom
fdcgroup,https://www.linkedin.com/company/fdcgroup,FDC Group - Helping Irish Businesses Succeed,fdc.ie,http://www.fdc.ie,accountancy-practice-payroll,medium,enterprise-201plus,201-500,216,Accounting,PRIVATELY_HELD,1973,Cork,Co. Cork,IE,accountancy,-,aiark-lookalike; pros-ind::Accounting::Ireland
accounts-and-legal,https://www.linkedin.com/company/accounts-and-legal,Accounts and Legal,accountsandlegal.co.uk,https://accountsandlegal.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,201-500,214,Accounting,Private,-,London,England,GB,chartered accountants; accountants,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
