domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
tandemdiabetes.com,Tandem Diabetes Care,https://www.linkedin.com/company/tandemdiabetes,http://www.tandemdiabetes.com,2195,1001-5000,-,Public Company,Medical Equipment Manufacturing,San Diego,California,United States,"Tandem Diabetes Care, a global insulin delivery and diabetes technology company, manufactures and sells advanced automated insulin delivery systems that reduce the burden of diabetes management, while creating new possibilities for patients, their loved ones, and healthcare providers. The Company’s pump portfolio features the Tandem Mobi system and t:slim X2 insulin pump, both of which feature Control-IQ advanced hybrid closed-loop technology.  Tandem is the #1 recommended insulin pump brand by ",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2195 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
starkey.com,Starkey Hearing,https://www.linkedin.com/company/starkey-hearing,http://www.starkey.com,2521,5001-10000,1967,Privately Held,Medical Equipment Manufacturing,Eden Prairie,Minnesota,United States,"Starkey is a privately held, global hearing technology company headquartered in Eden Prairie, Minnesota, USA. We are recognized for our innovative design, development and distribution of comprehensive digital hearing systems. We develop products using an evidence-based design approach, meaning that rigorous testing takes place to prove the benefits of a new technology or algorithm before a hearing aid is ever fit on a patient. Every Starkey employee is committed to helping people on their journe",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2521 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
nevro.com,Nevro,https://www.linkedin.com/company/nevro-hfx,https://www.nevro.com,908,1001-5000,2006,Public Company,Medical Equipment Manufacturing,Redwood City,California,United States,"Nevro is a global medical device company focused on delivering innovation to improve the quality of life for patients suffering from debilitating chronic pain.   Through Nevro's pain management solutions, Nevro | HFX and Nevro | SI Joint, Nevro brings together enduring technologies, optimized therapies, and individualized patient support, all built on a foundation of proof that results in a comprehensive solution to relieve the burden of pain for more patients.  HFX is a comprehensive solution t",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (908 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
fujifilm.com,FUJIFILM Healthcare Americas Corporation,https://www.linkedin.com/company/fujifilm-healthcare-americas-corp,https://healthcaresolutions-us.fujifilm.com,1710,501-1000,-,Privately Held,Medical Equipment Manufacturing,Lexington,Massachusetts,United States,"FUJIFILM Healthcare Americas Corporation is a comprehensive healthcare company that has an extensive range of technology and expertise in the detection, diagnosis, and treatment of diseases. Fujifilm’s innovative portfolio includes solutions spanning diagnostic imaging, enterprise imaging, endoscopic imaging, surgical imaging, and in-vitro diagnostics. The company is headquartered in Lexington, Massachusetts. For more information, please visit healthcaresolutions-us.fujifilm.com.",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1710 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
atecspine.com,ATEC Spine,https://www.linkedin.com/company/atec-spine,http://www.atecspine.com,1062,501-1000,-,Public Company,Medical Equipment Manufacturing,Carlsbad,California,United States,"ATEC Spine is a medical device company dedicated to revolutionizing the approach to spine surgery through innovation. ATEC’s Organic Innovation Machine™ is the greatest concentration of spine know-how in the industry and committed to the creation of clinical distinction. Leveraging 100% spine focus and expertise, we seek to improve spine surgery by rethinking, redesigning and seamlessly integrating the technologies required from the ground up. The innovation that results from that process is bei",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1062 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
asp.com,Advanced Sterilization Products,https://www.linkedin.com/company/advancedsterilizationproducts,http://www.asp.com,1524,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Irvine,California,United States,"In healthcare, nothing is more important than protecting patients. So it’s vital to ensure the safety of the care environment – especially the medical devices and equipment that come into contact with vulnerable patients.  ASP is a global leader in infection prevention solutions for healthcare. With advanced products, technologies, and workflows for medical sterilization and disinfection, ASP is dedicated to defending the lives of patients, families, healthcare workers, providers, and communitie",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1524 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
procept-biorobotics.com,PROCEPT BioRobotics,https://www.linkedin.com/company/procept-corporation,http://www.PROCEPT-BioRobotics.com/,872,501-1000,2009,Public Company,Medical Equipment Manufacturing,San Jose,California,United States,"PROCEPT BioRobotics is a surgical robotics company focused on advancing patient care by developing transformative solutions in urology. PROCEPT BioRobotics manufactures the AQUABEAM® and HYDROS™ Robotic Systems. The HYDROS Robotic System is the only AI-Powered, robotic technology that delivers Aquablation therapy. PROCEPT BioRobotics designed Aquablation therapy to deliver effective, safe, and durable outcomes for males suffering from lower urinary tract symptoms or LUTS, due to BPH that are ind",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (872 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
sysmex.com,"Sysmex America, Inc.",https://www.linkedin.com/company/sysmex-america-inc-,http://www.sysmex.com/us/,1362,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Lincolnshire,Illinois,United States,"Sysmex America, Inc. distributes and supports automated in vitro diagnostic hematology, flow cytometry, technology solutions, coagulation and urinalysis analyzers, reagents and information systems for laboratories and healthcare facilities in the Americas. We are headquartered in Lincolnshire, Illinois; with further facilities in Buffalo Grove, Vernon Hills and Mundelein. Questions? Comments? Reach out to socialmedia@sysmex.com",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1362 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
viantmedical.com,Viant Medical,https://www.linkedin.com/company/viantmedical,http://viantmedical.com,2921,5001-10000,-,Privately Held,Medical Equipment Manufacturing,Foxborough,Massachusetts,United States,"Please stay safe online. Viant does not send unsolicited interview offers to candidates that have not directly applied for an open position.  Additionally, Viant will not ask potential candidates or new hires to make payments or purchases nor send payments of any kind in advance of employment commencing.  Viant is a global design and manufacturing services provider for the medtech industry, specializing in surgical technologies, orthopedics, cardiac & interventional, bioelectronics, bioprocessin",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2921 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
medical.canon,"Canon Medical Systems USA, Inc.",https://www.linkedin.com/company/canon-medical-systems-canada,https://us.medical.canon/,1044,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Irvine,California,United States,"Canon Medical provides a comprehensive range of medical imaging solutions, including CT, diagnostic and interventional X-ray, MRI, ultrasound, service solutions, and advanced Healthcare IT. Guided by our Made for Life philosophy, patients are at the heart of everything we do. Our mission is to equip healthcare professionals with innovative solutions that enhance clinical performance, safety, comfort, and outcomes—helping deliver better health opportunities for patients worldwide.  We invest in r",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1044 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
carefusion.com,CareFusion,https://www.linkedin.com/company/carefusion,http://www.carefusion.com/,2599,10001+,2009,Public Company,Medical Equipment Manufacturing,San Diego,California,United States,"CareFusion, a BD company, is a global corporation serving the health care industry with products and services that help improve the cost and safety of health care for generations to come. 
 
 The company develops market-leading technologies including Alaris® infusion pumps, Pyxis® automated dispensing and patient identification systems, AVEA®, AirLife™ and LTV® series ventilation and respiratory products, ChloraPrep® skin preparation products, MedMined™ services for data mining surveillance, V. ",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2599 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
avanos.com,Avanos Medical,https://www.linkedin.com/company/avanos-medical,http://www.avanos.com,1430,1001-5000,-,Public Company,Medical Equipment Manufacturing,Alpharetta,Georgia,United States,"We are a medical device company focused on delivering clinically superior solutions that will help patients get back to the things that matter. Avanos develops, manufactures and markets its recognized brands globally.",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1430 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
biomerics.com,Biomerics,https://www.linkedin.com/company/biomerics,http://www.biomerics.com,1565,1001-5000,1994,Privately Held,Medical Equipment Manufacturing,Salt Lake City,Utah,United States,"Founded in 1994, Biomerics is the leading vertically integrated medical device contract manufacturer serving the interventional device market. Trusted as a vertically integrated partner with extensive engineering expertise and solutions, Biomerics supplies 20 of the top 30 medical device OEMs globally. Biomerics provides engineering design and development services, technology transfer manufacturing services and contract manufacturing services — including sterilization and packaging — for medical",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1565 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
inarimedical.com,Inari Medical,https://www.linkedin.com/company/inari-medical,http://inarimedical.com/,687,1001-5000,-,Public Company,Medical Equipment Manufacturing,Irvine,California,United States,"In February of 2025, Stryker acquired Inari Medical, a medical device company with a mission to treat and transform the lives of patients suffering from venous and other diseases.  Stryker is a global leader in medical technologies and, together with our customers, we are driven to make healthcare better.   We offer innovative products and services in MedSurg, Neurotechnology and Orthopedics that help improve patient and healthcare outcomes. Alongside our customers around the world, we impact mo",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (687 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
carestreamdental.com,Carestream Dental,https://www.linkedin.com/company/carestream-dental,http://www.carestreamdental.com,1192,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Atlanta,Georgia,United States,"Carestream Dental is a digital solutions leader built on more than 125 years of experience that’s committed to transforming dentistry, simplifying technology and changing lives. In this pursuit, it offers three brand portfolios that enable practice optimization, efficiency and growth: Carestream Dental includes world-class oral healthcare devices; Swissmeda offers market-leading clinical software and services; and Sensei includes best-in-class practice management software and services. These sol",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1192 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
sciton.com,SCITON,https://www.linkedin.com/company/sciton,http://www.sciton.com,502,501-1000,1997,Privately Held,Medical Equipment Manufacturing,Palo Alto,California,United States,"About Sciton Founded in 1997 by industry veterans Jim Hobart and Dan Negus, Sciton is an innovative, employee-owned medical device company that specializes in cutting-edge laser and light technologies. After leaving Coherent Medical, the world’s largest laser company at the time, Jim and Dan embarked on a mission to create a self-financed business focused on delivering superior quality and long-lasting results for both patients and medical professionals.  What We Do At Sciton, we’re driven by a ",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (502 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
inmodemd.com,InMode,https://www.linkedin.com/company/inmode-aesthetics,http://www.inmodemd.com,542,51-200,2008,Public Company,Medical Equipment Manufacturing,Lake Forest,California,United States,"InMode Ltd. is a leading global provider of innovative and award winning medical technologies that focuses on well-being and excellent results. InMode develops, manufactures, and markets platforms that harness novel radio-frequency (RF) based technology that strives to enable new emerging minimally-invasive procedures and improve existing surgical procedures. InMode has leveraged its medically-accepted RF technologies to offer a comprehensive line of platforms that will enable us to capitalize o",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (542 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
vbspineco.com,VB Spine,https://www.linkedin.com/company/vbspine,https://www.vbspineco.com,796,1001-5000,2025,-,Medical Equipment Manufacturing,Leesburg,Virginia,United States,"VB Spine, LLC is the largest privately held spine company and among the largest family-owned medical technology companies in the world. Our globally recognized identity as innovators and stewards of the spine industry reflects our commitment to patient outcomes first. With a comprehensive product portfolio and a large and growing global distribution network, VB Spine delivers specialized solutions that address critical needs in spine surgery and enhance patient outcomes. VB Spine is a strategic ",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (796 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
wright.com,Wright Medical,https://www.linkedin.com/company/wrightmedical,http://www.wright.com,856,1001-5000,-,Public Company,Medical Equipment Manufacturing,Memphis,Tennessee,United States,"Wright Medical Group N.V. is a global medical device company focused on providing extremity and biologic solutions that enable clinicians to alleviate pain and restore their patients’ lifestyles. The company is a recognized leader of surgical solutions for the upper extremity (shoulder, elbow, wrist and hand), lower extremity (foot and ankle) and biologics markets, three of the fastest growing segments in orthopaedics. For more information about Wright, visit www.wright.com.  Wright Medical Grou",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (856 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
butterflynetwork.com,"Butterfly Network, Inc.",https://www.linkedin.com/company/butterflynetwork,https://www.butterflynetwork.com,444,51-200,2011,Public Company,Medical Equipment Manufacturing,Burlington,Massachusetts,United States,"Butterfly’s mission is to democratize healthcare by making medical imaging accessible to everyone, everywhere. As pioneers of semiconductor chip-based ultrasound, we are creating a new standard of care through transformative digital technologies – from probe to platform.   Our integrated hardware, software, and AI-powered tools, along with education and partnership opportunities through our software development kit (SDK) offering, empower healthcare providers and enterprises to deliver faster an",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (444 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
minimed.com,MiniMed,https://www.linkedin.com/company/minimed-diabetes,https://www.minimed.com/,1510,5001-10000,-,Public Company,Medical Equipment Manufacturing,Los Angeles,California,United States,"MiniMed is a full-stack insulin delivery company built around one belief: that technology should lift the burden of diabetes. So that every day is a better day. Days when diabetes fades into the background and life takes the lead. Joyful, messy, fully lived days — when things feel lighter, easier, more possible. Those are the days we’re here to make real.   Connect with us! Facebook @ www.facebook.com/MiniMed Instagram @ www.instagram.com/minimed/ X @ https://x.com/minimed TikTok @ https://www.t",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1510 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
cutera.com,"Cutera, Inc.",https://www.linkedin.com/company/cuterainc,http://www.cutera.com,543,201-500,1998,Public Company,Medical Equipment Manufacturing,Brisbane,California,United States,"Cutera, Inc. is a leading global aesthetics device company with a comprehensive product portfolio and a global distribution footprint.  We are a fast-paced, high-tech medical device company looking for the right person to help grow our business and reap the rewards of doing it!  We hire the best people and provide them the best comp and benefits to help improve their lives. Learn more on our company website.",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (543 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
advancedbionics.com,Advanced Bionics,https://www.linkedin.com/company/advanced-bionics,http://www.advancedbionics.com,1126,501-1000,1993,Public Company,Medical Equipment Manufacturing,Valencia,California,United States,"AB is proud to be the only U.S. based manufacturer of cochlear implants and equally proud to be a part of the larger Sonova group.  At AB, success begins with a passion for hearing restoration and is driven by our global workforce of over a thousand employees. For more than 25 years, AB has removed limitations for those otherwise isolated from the world of sound. Always focused on bringing meaningful change through innovative technology, AB has set the standard for performance, lifestyle support",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1126 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
