segment,name,domain,linkedin,classification,description
Bobcat-like (compact construction equipment),Magaldi Group,magaldi.com,https://www.linkedin.com/company/magaldi-group,manufacturer - REVIEW,"𝗠𝗮𝗴𝗮𝗹𝗱𝗶 𝗚𝗿𝗼𝘂𝗽 | 𝗗𝗲𝗽𝗲𝗻𝗱𝗮𝗯𝗹𝗲 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝗶𝗲𝘀 𝗦𝗶𝗻𝗰𝗲 𝟭𝟵𝟮𝟵  Headquartered in Italy, Magaldi Group brings nearly a century of experience in engineering, designing, and manufacturing industrial machinery and sy"
Bobcat-like (compact construction equipment),STIHL,stihl.de,https://www.linkedin.com/company/stihl,manufacturer - REVIEW,"STIHL as an employer – THE REASONS WHY WE ARE HERE  STIHL is a leading international mechatronics company with over 19,000 employees worldwide. For almost 100 years, we have stood for quality, innovat"
Bobcat-like (compact construction equipment),Jungheinrich UK Ltd,jungheinrich.co.uk,https://www.linkedin.com/company/jungheinrich-uk-ltd,manufacturer - REVIEW,"At Jungheinrich UK, we are not only a premium manufacturer of forklift trucks — we’re also a leading force in automated material handling transformation.  Established in 1963, we offer the UK’s most c"
Bobcat-like (compact construction equipment),Black & Decker,blackanddecker.com,https://www.linkedin.com/company/black-&-decker,manufacturer - REVIEW,"Since our earliest days as a small Baltimore machine shop, BLACK+DECKER has remained steadfastly focused on customer needs. Learn more about how we've earned our reputation for quality, ingenuity and "
Bobcat-like (compact construction equipment),AMAZONEN-WERKE H. DREYER SE & Co. KG,amazone.net,https://www.linkedin.com/company/amazone-group,manufacturer - REVIEW,"Imprint: http://www.amazone.net/5000.asp  More than seven billion people currently live on Earth. In less than 50 years, it will be 10 billion. The use of Land, water and other resources must therefor"
Bobcat-like (compact construction equipment),Weidemann GmbH,weidemann.de,https://www.linkedin.com/company/weidemann-gmbh,manufacturer - REVIEW,"The internationally distinguished label Weidemann stands for 60 years of experience in developing and series manufacturing of compact Hoftracs, wheel loaders and telehandlers.  Weidemann was the first"
Bobcat-like (compact construction equipment),Camso,camso.co,https://www.linkedin.com/company/camso,manufacturer - REVIEW,"Camso is specialized in off-road tires, wheels, rubber tracks and undercarriage systems serving the material handling, construction, agricultural and powersports industries. Its high-performance produ"
Bobcat-like (compact construction equipment),Wallenius Wilhelmsen Solutions / Keen Transport,keentransport.com,https://www.linkedin.com/company/keen-transport,manufacturer - REVIEW,"Keen Transport is a national provider of heavy-haul logistics and transportation services for the construction, mining, and agriculture equipment markets. We have been discovering and serving the need"
Bobcat-like (compact construction equipment),Weiler,weilerproducts.com,https://www.linkedin.com/company/weiler,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE","Located in Knoxville, Iowa, Weiler manufactures equipment for the paving market. Weiler equipment is based on proven designs that have a successful track record in the field. We work closely with cont"
Bobcat-like (compact construction equipment),Tractafric Equipment,tractafric-equipment.com,https://www.linkedin.com/company/tractafric-equipment,manufacturer - REVIEW,Vous vous interrogez sur le contenu ? Consultez le site internet de votre entreprise.
Bobcat-like (compact construction equipment),Herc Rentals,hercrentals.com,https://www.linkedin.com/company/hercrentalsinc,dealer/rental - EXCLUDE,"Herc Rentals is a premier, full-service equipment rental company providing customers with the equipment, services, and solutions they need to achieve optimal performance safely, efficiently, and effec"
Bobcat-like (compact construction equipment),Ziegler Caterpillar,zieglercat.com,https://www.linkedin.com/company/ziegler-caterpillar,dealer/rental - EXCLUDE,"Ziegler CAT is one of the largest and most successful Cat® dealers in the U.S., representing the full line of industry-leading Cat equipment, generators, and truck engines in Minnesota and Iowa. We al"
Bobcat-like (compact construction equipment),Papé Group,pape.com,https://www.linkedin.com/company/papegroup,manufacturer - REVIEW,"Keeps You Moving®  As a fourth-generation, family-owned business with more than 160 locations and 4,000 employee members, Papé serves the capital equipment needs of the construction, forestry, agricul"
Bobcat-like (compact construction equipment),CNIM,cnim-groupe.com,https://www.linkedin.com/company/cnim,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE","Founded in 1856, CNIM is a French equipment manufacturer and industrial contractor operating on a worldwide basis. The Group supplies products and services to major private and public sector organizat"
Bobcat-like (compact construction equipment),MacLean-Fogg,macleanfogg.com,https://www.linkedin.com/company/maclean-fogg,manufacturer - REVIEW,"MacLean-Fogg is a fourth-generation, family-owned American manufacturing company headquartered in Mundelein, Illinois. Founded in 1925, the company designs and manufactures American-made engineered me"
Bobcat-like (compact construction equipment),Best Line Equipment,bestline.com,https://www.linkedin.com/company/best-line-equipment,manufacturer - REVIEW,"Best Line Equipment is an industry-leading equipment rental, sales, service, and parts provider with locations in Pennsylvania and New Jersey. For over 35 years, we’ve built a successful multi-locatio"
Bobcat-like (compact construction equipment),Rotary Corporation,rotarycorp.com,https://www.linkedin.com/company/rotary-corporation,manufacturer - REVIEW,"Rotary Corporation is the world's largest supplier of aftermarket outdoor power equipment parts. Our extensive product line includes lawn mower accessories such as blades, filters, spark plugs, tires,"
Bobcat-like (compact construction equipment),H&E Rentals,he-equipment.com,https://www.linkedin.com/company/hees,dealer/rental - EXCLUDE,"Founded in 1961, H&E is one of the largest equipment rental companies in the nation, providing the higher standard in equipment rentals. With locations across the United States, we’re leveraging our n"
Bobcat-like (compact construction equipment),Peterson Cat,petersoncat.com,https://www.linkedin.com/company/peterson-cat,dealer/rental - EXCLUDE,"Peterson Cat is part of Caterpillar's worldwide dealer network serving 100,000+ square miles of Northern California, Oregon, and southwest Washington. As one of the largest dealers in North America ou"
Bobcat-like (compact construction equipment),Danella Companies,danella.com,https://www.linkedin.com/company/danella-companies,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE","Danella is a leading construction company, providing infrastructure to the power, communications, water, gas, and rail industries.  UTILITY CONSTRUCTION Danella Construction provides services for the "
Bobcat-like (compact construction equipment),Wajax,wajax.com,https://www.linkedin.com/company/wajax,manufacturer - REVIEW,"Founded in 1858, Wajax (TSX: WJX) is one of Canada’s longest-standing and most diversified industrial products and services providers. The Corporation operates an integrated distribution system provid"
Bobcat-like (compact construction equipment),Zeppelin Group,zeppelin.com,https://www.linkedin.com/company/zeppelingroup,manufacturer - REVIEW,"The Zeppelin Group is a global sales and service provider with extensive industry expertise in the fields of construction, drive and energy. The company’s success is built on its established brands Ze"
Bobcat-like (compact construction equipment),Textron Specialized Vehicles,txtsv.com,https://www.linkedin.com/company/e-z-go,manufacturer - REVIEW,"In 1954, in a one-room machine shop in Augusta, Georgia, the first Textron Specialized Vehicles products were born. Two brothers started with a simple belief that they could build a better golf car, t"
Bobcat-like (compact construction equipment),Titan Machinery,titanmachinery.com,https://www.linkedin.com/company/titan-machinery,manufacturer - REVIEW,"Titan Machinery owns and operates a network of full-service agriculture and construction equipment stores in the United States, Europe and Australia. At our stores, we sell and rent new and used const"
Bobcat-like (compact construction equipment),Milwaukee Tool,milwaukeetool.jobs,https://www.linkedin.com/company/milwaukee-tool,manufacturer - REVIEW,"For over 100 years, Milwaukee Tool has led the industry with innovative solutions that redefine performance, productivity, and safety for the professional trades. Fueled by an unwavering commitment to"
Bobcat-like (compact construction equipment),Liebherr Mining,liebherr.com,https://www.linkedin.com/company/liebherr-mining,manufacturer - REVIEW,"Welcome to Liebherr Mining! We work closely with our customers to provide high-quality, innovative mining solutions that thrive even in the toughest conditions. Our product range includes off-highway "
Bobcat-like (compact construction equipment),Terberg Special Vehicles,terbergspecialvehicles.com,https://www.linkedin.com/company/terberg-special-vehicles,manufacturer - REVIEW,"Terberg Special Vehicles, part of the Royal Terberg Group, designs and manufactures terminal tractors for intensive use in ports, inland terminals, distribution centers, and industrial sites worldwide"
Bobcat-like (compact construction equipment),JLG Industries,jlg.com,https://www.linkedin.com/company/jlg-industries,manufacturer - REVIEW,"Our company started in 1969 when our founder, John L. Grove, set out to resolve growing safety concerns in the construction industry.   Through unparalleled safety, training, productivity and technolo"
Bobcat-like (compact construction equipment),Custom Truck One Source,customtruck.com,https://www.linkedin.com/company/custom-truck-one-source,manufacturer - REVIEW,"Custom Truck One Source is the first true single-source provider of specialized truck and heavy equipment solutions. With sales, rentals, aftermarket parts and service, equipment customization, remanu"
Bobcat-like (compact construction equipment),Barry-Wehmiller,barrywehmiller.com,https://www.linkedin.com/company/barry-wehmiller,manufacturer - REVIEW,"We’re Building A Better World.  We’re more than just a successful capital equipment and engineering solutions firm. We’re an organization fiercely committed to improving the lives of our team member"
Bobcat-like (compact construction equipment),Warn Industries,warn.com,https://www.linkedin.com/company/warn-industries,manufacturer - REVIEW,"Warn Industries has the led the way in durable, innovative, and trusted off-road products since 1948. Our powerful winches, rock-solid bumpers and mounting systems, versatile rigging equipment, and pr"
Bobcat-like (compact construction equipment),Warren CAT,warrencat.com,https://www.linkedin.com/company/warren-cat,dealer/rental - EXCLUDE,Warren CAT: Your Dealership of Choice.  Warren CAT is one of the largest and fastest growing Caterpillar® dealerships in North America proudly serving customers throughout nineteen locations in West T
Bobcat-like (compact construction equipment),Techtronic Industries - TTI,ttigroup.com,https://www.linkedin.com/company/techtronic-industries,manufacturer - REVIEW,"Techtronic Industries Company Limited (“TTI”, or the “Company”), founded in 1985 by German entrepreneur Horst Julius Pudwill, is a world leader in cordless technology. As a pioneer in Power Tools, Out"
Bobcat-like (compact construction equipment),SMS Equipment Inc.,smsequipment.com,https://www.linkedin.com/company/sms-equipment,manufacturer - REVIEW,"SMS Equipment Inc. is the premier equipment solutions provider for the mining, construction, road construction, and forestry industries. Our world-class specialists work across more than 40 locations "
Bobcat-like (compact construction equipment),Carry-On Trailer,carry-ontrailer.com,https://www.linkedin.com/company/carry-on-trailer,manufacturer - REVIEW,"Carry-On has a trailer built for you, no matter the task, trade or pursuit. Life is calling. Carry-On."
Bobcat-like (compact construction equipment),Liebherr Group,liebherr.com,https://www.linkedin.com/company/liebherr,manufacturer - REVIEW,"Established in 1949, the Liebherr Group today is not only one of the biggest construction equipment manufacturers in the world, but also offers high-quality, user-oriented products and services in man"
Bobcat-like (compact construction equipment),Johnston Equipment,johnstonequipment.com,https://www.linkedin.com/company/johnston-equipment,manufacturer - REVIEW,"Johnston Equipment provides more than just material handling solutions—we help optimize your entire operation.  With decades of experience, we’re your trusted and comprehensive partner for moving, man"
Bobcat-like (compact construction equipment),TVH Parts Co.,tvh.com,https://www.linkedin.com/company/tvh-americas,manufacturer - REVIEW,"Founded in 1969, the global TVH Parts Holding group now has 90 branches selling to customers in over 180 countries. Worldwide we offer more than 1,120,000 stocking numbers and more than 49,500,000 par"
Bobcat-like (compact construction equipment),Tracsa Cat,tracsa.com.mx,https://www.linkedin.com/company/tracsacat,dealer/rental - EXCLUDE,"As an authorized Caterpillar dealer in Western and 'Bajio' regions of Mexico, we offer an extensive range of heavy machinery and equipment for construction, agriculture, mining, drilling, aggregate ba"
Bobcat-like (compact construction equipment),Royal Terberg Group,royalterberggroup.com,https://www.linkedin.com/company/terberg,manufacturer - REVIEW,"Royal Terberg Group is active worldwide in the development, production and service of special vehicles and systems for ports, logistics and waste collection. As a family-owned business, we stand by ou"
Bobcat-like (compact construction equipment),Wyoming Machinery Company,wyomingcat.com,https://www.linkedin.com/company/wyoming-machinery-company,dealer/rental - EXCLUDE,Wyoming Machinery Company is the premiere Caterpillar Dealer in Wyoming and we offer the complete line of Caterpillar equipment. In addition to equipment sales we offer an extensive fleet of used mach
Bobcat-like (compact construction equipment),Andamios Atlas,andamiosatlas.com,https://www.linkedin.com/company/andamios-atlas,manufacturer - REVIEW,"Andamios Atlas es la compañía líder en sistemas de andamiaje, apuntalamiento y encofrado de muros y columnas.   Durante 58 años, Andamios Atlas se ha enfocado en desarrollar, diseñar y fabricar sist"
Bobcat-like (compact construction equipment),Corona,coronatools.com,https://www.linkedin.com/company/coronatools,manufacturer - REVIEW,"Since our beginnings in the orange groves of Southern California in 1928, Corona® Tools has been manufacturing quality hand tools for home growers, landscape professionals, farmers, and construction p"
Bobcat-like (compact construction equipment),Toyota Material Handling,toyotaforklift.com,https://www.linkedin.com/company/toyota-material-handling,manufacturer - REVIEW,"Toyota Material Handling offers a full line of material handling products proudly assembled in the United States, including forklifts, reach trucks, order pickers, pallet jacks, container handlers, au"
Bobcat-like (compact construction equipment),Alta Equipment Company,altg.com,https://www.linkedin.com/company/altaequipmentcompany,dealer/rental - EXCLUDE,"Alta Equipment Company is a leading provider of industrial forklifts, heavy construction equipment and warehouse solutions in the Midwest.   Our core commitment is to provide outstanding service that "
Bobcat-like (compact construction equipment),Allied Systems Company,alliedsystems.com,https://www.linkedin.com/company/allied-systems,manufacturer - REVIEW,"Allied Systems Company was founded in 1976 as a fabricator of material handling equipment for the wood products industry. Since that time, Allied has expanded greatly and now owns several different pr"
Bobcat-like (compact construction equipment),CERTEX USA,certex.com,https://www.linkedin.com/company/certex-usa,manufacturer - REVIEW,"For over 50 years, CERTEX USA has been the trusted leader in rigging supplies, lifting products, and safety solutions—delivering unmatched quality and reliability to industries across North America.  "
Bobcat-like (compact construction equipment),Ahern Rentals,ahern.com,https://www.linkedin.com/company/ahern-rentals,dealer/rental - EXCLUDE,"Ahern Rentals is the largest independently owned rental company in the United States and is the 7th largest combined. Ahern is based out of Las Vegas, NV, and is the most experienced (established in 1"
Bobcat-like (compact construction equipment),The Home Depot Rental,compactpowerrents.com,https://www.linkedin.com/company/thehomedepotrental,dealer/rental - EXCLUDE,"The Home Depot® Rental is your one-stop shop for all your jobsite or home improvement needs. Rent tools, trucks and large equipment from our well-stocked rental centers at your nearest The Home Depot®"
Bobcat-like (compact construction equipment),Hunter Engineering Company,hunter.com,https://www.linkedin.com/company/hunter-engineering,manufacturer - REVIEW,"Hunter Engineering Company is a global leader in automotive service equipment, offering state-of-the-art wheel alignment systems, wheel balancers, tire changers, vehicle inspection equipment, brake la"
Bobcat-like (compact construction equipment),Navistar Inc,navistar.com,https://www.linkedin.com/company/navistar-inc,manufacturer - REVIEW,"We were Navistar, but we are getting back to our roots as International. Follow us at International and join us on the road ahead."
Bobcat-like (compact construction equipment),Toromont Cat,toromontcat.com,https://www.linkedin.com/company/toromont-cat,dealer/rental - EXCLUDE,"Toromont Cat est le concessionnaire Caterpillar autorisé au Manitoba, en Ontario, au Québec, au Nouveau-Brunswick, en Nouvelle-Écosse, à l’Île-du-Prince-Édouard, à Terre-Neuve et Labrador et au Nunavu"
Bobcat-like (compact construction equipment),WesTrac Cat,westrac.com.au,https://www.linkedin.com/company/westrac,dealer/rental - EXCLUDE,"As one of the largest authorised Cat equipment dealers in the world, WesTrac provides customers with a wide range of machinery and construction equipment as well as comprehensive whole-of-life managem"
Bobcat-like (compact construction equipment),Husqvarna Group,husqvarnagroup.com,https://www.linkedin.com/company/husqvarnagroup,manufacturer - REVIEW,"Husqvarna Group is a global leading producer of outdoor power products for forest, park and garden care. Sustainability is integrated into our business. Creating a strong company fit for the future de"
Bobcat-like (compact construction equipment),Ingersoll Rand,irco.com,https://www.linkedin.com/company/ingersoll-rand,manufacturer - REVIEW,"Ingersoll Rand Inc. (NYSE:IR), driven by an entrepreneurial spirit and ownership mindset, is dedicated to Making Life Better for our employees, customers, shareholders, and planet. Customers lean on u"
Bobcat-like (compact construction equipment),Hitachi Construction Machinery (Europe) NV (HCME),hitachicm.eu,https://www.linkedin.com/company/hitachi-construction-machinery-europe-nv,manufacturer - REVIEW,"HCME is a subsidiary of Hitachi Construction Machinery Co., Ltd. and was established in 1972 in Oosterhout, The Netherlands. It is responsible for the manufacture, sales and marketing of Hitachi const"
Bobcat-like (compact construction equipment),Ramsey Industries,ramseyindustries.com,https://www.linkedin.com/company/realramseyindustries,manufacturer - REVIEW,"Ramsey Industries is a leading manufacturer of industrial and commercial winches, service cranes and service truck bodies, and planetary gear drives through its three brands – Ramsey Winch®, Auto Cran"
Bobcat-like (compact construction equipment),Linde Material Handling,linde-mh.com,https://www.linkedin.com/company/linde-material-handling,manufacturer - REVIEW,"Linde Material Handling is one of the world's leading manufacturers of forklift trucks and warehouse equipment. In Europe, the company is the market leader with the Linde and Fenwick (France) brands. "
Bobcat-like (compact construction equipment),Haldex,haldex.com,https://www.linkedin.com/company/haldex,manufacturer - REVIEW,"Haldex is a leading manufacturer of reliable and innovative brake systems and air suspension solutions that enhance the safety, dynamics and durability of heavy vehicles.  The product portfolio focuse"
Bobcat-like (compact construction equipment),Flexicon Corporation,flexicon.com,https://www.linkedin.com/company/flexicon-corporation,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE","Flexicon has been a world leader in the design and manufacture of reliable, high performance bulk handling equipment, custom-engineered and integrated plant-wide systems since 1974.  Our products rang"
Bobcat-like (compact construction equipment),Ditch Witch,ditchwitch.com,https://www.linkedin.com/company/ditch-witch,manufacturer - REVIEW,"Anyone who has ever visited our factory in Perry, Oklahoma, has heard us say it: ""We bleed orange.""​ But what does it mean?  It has something to do with the signature color of our equipment, of cour"
Bobcat-like (compact construction equipment),Cramo Sverige,cramo.se,https://www.linkedin.com/company/cramo-ab,manufacturer - REVIEW,"Cramo was founded in year 1953 and is one of Sweden's largest and Europe's second largest companies in the machinery rental industry and rental-related services. Together, Cramo and Boels Rental opera"
Bobcat-like (compact construction equipment),Hitachi Construction Machinery (UK),hitachicm.co.uk,https://www.linkedin.com/company/hitachi-construction-machinery-uk,manufacturer - REVIEW,"Hitachi Construction Machinery UK (HCMUK) is a wholly owned subsidiary of Hitachi Construction Machinery Europe and is responsible for the supply of mini, medium, large and wheeled excavators; wheel l"
Bobcat-like (compact construction equipment),Fenwick-Linde,fenwick-linde.fr,https://www.linkedin.com/company/fenwick-linde,manufacturer - REVIEW,"Depuis toujours c'est en écoutant nos clients que Fenwick-Linde crée des solutions innovantes et sur mesure pour répondre à leurs exigences. Leader reconnu en France, nous nous appuyons sur une large "
Bobcat-like (compact construction equipment),The COATS Company,coatscompany.com,https://www.linkedin.com/company/coats-company,manufacturer - REVIEW,"Coats is a leading smart repair brand specializing in vehicle maintenance systems, service and data that keep work flowing. ​ ​ We offer a full-shop portfolio of tire changers, wheel balancers and ali"
Bobcat-like (compact construction equipment),FAST Global Solutions. Inc.,fastsolutions.com,https://www.linkedin.com/company/fastglobalsolutions,manufacturer - REVIEW,"At FAST Global Solutions, our purpose is to deliver winning solutions that help our customers, communities and employees thrive. Originally known as Watkins Aircraft Support Products and later WASP In"
Bobcat-like (compact construction equipment),United Rentals,unitedrentals.com,https://www.linkedin.com/company/united-rentals,dealer/rental - EXCLUDE,"United Rentals is the world’s largest equipment rental company, helping customers safely build, maintain and respond across construction, industrial, utilities, infrastructure and emergency response p"
Bobcat-like (compact construction equipment),Tractor & Equipment Company,tec1943.com,https://www.linkedin.com/company/tractor-&-equipment-company,dealer/rental - EXCLUDE,"Tractor & Equipment Company was originally founded in 1943 in Birmingham, Alabama and has since grown to the largest Komatsu dealer in North America. We offer the highest level of support regardless o"
Bobcat-like (compact construction equipment),Jungheinrich AG,jungheinrich.com,https://www.linkedin.com/company/jungheinrich-ag,manufacturer - REVIEW,"Jungheinrich inspires, influences and shapes the world of material handling, and has been for more than 70 years. We don't just want to identify the latest trends or developments. We take a proactive "
Bobcat-like (compact construction equipment),Techtronic Industries EMEA,ttigroup.com,https://www.linkedin.com/company/techtronic-industries-emea-ltd,manufacturer - REVIEW,"Techtronic Industries EMEA is a rapidly expanding global leader in Power Tools, Accessories, Hand Tools, Outdoor Power Equipment, and Floor Care Appliances for DIY enthusiasts, professionals, and indu"
Bobcat-like (compact construction equipment),Manitou across the world,bitly.com,https://www.linkedin.com/company/manitouworld,manufacturer - REVIEW,"Founded over 60 years ago by the Braud family, Manitou now operates worldwide. A world-leader in all-terrain material handling, Manitou designs, manufactures, distributes and services equipment for co"
Astec-like (aggregate / road building),Aggregate Industries UK,aggregate.com,https://www.linkedin.com/company/aggregate-industries-uk,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE",We are committed to creating a better built environment through sustainable approaches. A member of Holcim.
