sample_id,company,client_group,client_verdict,client_revenue_est,v1_verdict,v1_reason,v2_verdict,v2_confidence,v2_reason,v2_evidence,v1_outcome,v2_outcome
18,Zygo,Metrology & Inspection,Yes,$200M-$300M (est.),NO,"Precision optical metrology measurement instruments; specialized instruments, not configurable multi-part industrial equipment.",YES,high,Optical metrology instruments (in scope); AMETEK subsidiary; $160M+ historical revenue.,https://www.zygo.com/,hard_miss,exact
19,"EROWA Technology, Inc.","Cutting Tools, Tooling & Workholding",Yes,$100M-$300M (est.),NO,"Precision clamping systems and tooling components supplier; manufactures support systems/components, not end-user industrial equipment.",NEAR,medium,"Workholding & clamping systems (in scope); revenue not disclosed, appears mid-sized.",https://www.erowa.com/,hard_miss,wrong_tier
20,Amada Machinery America,Machine Tools & Fabrication Machinery,Yes,"$2.6B (Amada group, FY2024)",YES,"Sheet metal fabrication equipment manufacturer: press brakes, fiber lasers, punch presses. $2.9B parent, $100-500M NA revenue, 200+ SKUs, 4 US factories.",YES,high,"Industrial machine tools (press brakes, lasers); subsidiary of $2.7B Amada Co. Ltd.",https://www.amada.com/america/,exact,exact
21,Coral USA Corp.,"Shop Support, Components & Consumables",Near-ICP,$50M-$100M (est.),NO,"Industrial dust collector and air filtration systems; support equipment, not complex configurable multi-part manufacturing machinery.",NEAR,medium,"Industrial air filtration systems (shop support in scope); revenue not disclosed, appears under $100M.",https://coral.eu,hard_miss,exact
22,SHINING 3D Technology Inc.,Metrology & Inspection,Yes,$100M-$300M (est.),NO,"3D scanning and limited 3D dental printer manufacturer; precision optical equipment, not the configurable industrial manufacturing equipment VNTANA targets.",YES,high,3D metrology scanners (inspection instruments in scope); $221M revenue FY2025.,https://www.shining3d.com,hard_miss,exact
23,WEILER North America Corporation,Machine Tools & Fabrication Machinery,Yes,$150M-$250M (est.),NO,"Paving equipment manufacturer (pavers, road wideners, material transfer vehicles); insufficient product complexity and part count vs. core test requirements.",NEAR,medium,Precision lathe manufacturer (in scope); revenue appears under $100M.,https://www.weiler.de/,hard_miss,wrong_tier
24,Bissell Commercial,"Shop Support, Components & Consumables",Yes,"$1B+ (BISSELL, est.)",NO,"Commercial floor cleaning equipment manufacturer; excluded category (consumer retail/cleaning products, not industrial manufacturing equipment).",NO,high,Commercial cleaning equipment; not industrial manufacturing products for dealers/reps.,https://www.bissellcommercial.com,hard_miss,hard_miss
25,Deublin Company,Machine Tools & Fabrication Machinery,Yes,$100M-$200M (est.),NO,"Rotary unions and rotating joints component supplier; manufactures components/modules, not complex end-user industrial equipment systems.",YES,high,Rotary unions & slip rings (pneumatic/hydraulic components in scope); HOERBIGER subsidiary.,https://www.deublin.com/en,hard_miss,exact
26,Precitrame America Corporation,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NEAR,"Swiss-based precision CNC machinery: rotary transfer machines, micromachining centers. Complex equipment, but only $20.7M revenue (under $100M threshold).",NEAR,medium,CNC rotary transfer machines (industrial machinery in scope); revenue appears under $100M.,https://precitrame.com,exact,exact
27,"Mitsubishi Electric US, Inc., Industrial Automation","Automation, Robotics & Material Handling",Yes,"$36B (Mitsubishi Electric group, FY2024)",YES,"Factory automation systems, industrial robots, PLCs, drives. $36.8B parent, $100M+ US division revenue, complex configurable products, extensive SKU catalog.",YES,high,Factory automation & robots (in scope); $5B+ factory automation segment revenue.,https://us.mitsubishielectric.com,exact,exact
28,ETXE-TAR USA Corporation,Machine Tools & Fabrication Machinery,Yes,$100M-$200M (est.),NEAR,"Advanced CNC machining centers and laser systems manufacturer. Complex equipment with 50+ parts/variants, but only $6.2M revenue (far below $100M threshold).",NEAR,medium,Machine tools & flexible manufacturing systems (in scope); revenue not disclosed.,https://www.etxetar.com/,wrong_tier,wrong_tier
29,OTT-JAKOB Spanntechnik GmbH,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NO,"Tool clamping and spanntechnik systems manufacturer; manufactures precision tool-holding components/support systems, not end-user industrial equipment.",NEAR,medium,Tool clamping systems for machines (tooling & workholding in scope); revenue under $100M.,https://www.ott-jakob.de/,hard_miss,exact
30,Gesenkschmiede Schneider GmbH,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NO,"Forged automotive parts manufacturer (undercarriage, steering, engine parts); component/parts supplier, not industrial equipment manufacturer.",YES,high,Forged components sold as catalogue (discrete manufacturing in scope); €108M (~$120M) revenue.,https://gsa-aalen.de/,hard_miss,wrong_tier
31,BURKHARDT + WEBER,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),YES,"CNC machining centers (horizontal, 5-axis, multitasking) with complex configurations. Part of Romi (parent $244M revenue, passes $100M threshold).",NEAR,medium,"German CNC machining center manufacturer, ~220 employees, industrial machinery, likely <$100M revenue",https://www.burkhardt-weber.de,wrong_tier,exact
32,ATI Industrial Automation,"Automation, Robotics & Material Handling",Yes,$100M-$200M (est.),NO,"Component/accessory supplier (robotic tool changers, sensors). Makes end-effectors for robots, not industrial equipment.",NEAR,high,"Robotic end-effectors and tooling, industrial components, ~$70M revenue <$100M",https://www.ati-ia.com,hard_miss,wrong_tier
33,Navitar,Metrology & Inspection,Near-ICP,$50M-$100M (est.),NO,"Optical/imaging equipment manufacturer (lenses, cameras, microscope objectives). Not industrial machinery.",NEAR,medium,"Optical metrology instruments (in-scope), machine vision cameras, revenue uncertain $10-100M range",https://www.navitar.com,hard_miss,exact
34,Hainbuch America Corporation,"Cutting Tools, Tooling & Workholding",Yes,$100M-$200M (est.),NO,"Workholding accessory supplier (chucks, mandrels, clamping devices). Component-level products, not complex assembled equipment.",YES,medium,"Industrial clamping components, subsidiary of German Hainbuch GmbH, global parent >$100M",https://www.hainbuch.com,hard_miss,exact
35,Schenck USA CORP.,Metrology & Inspection,Yes,$100M-$500M (est.),NO,"Vibration measurement/monitoring equipment (analyzers, monitors). Measurement equipment, not manufactured products with 50+ configurable parts.",YES,high,"Balancing machines (metrology in-scope), subsidiary of Dürr Group €2.1B+",https://www.schenck-rotec.com/en-us/,hard_miss,exact
36,Walker Forge,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NO,"Closed-die forging and gear blank manufacturer. Makes components/parts, not complex assembled industrial equipment.",NEAR,high,"Steel forging manufacturer (in-scope), closed-die components, $74.1M revenue <$100M",https://www.walkerforge.com,hard_miss,exact
37,SNK America Inc.,Machine Tools & Fabrication Machinery,Yes,$100M-$300M (est.),NO,"Distributor and dealer of SNK, JOBS, NISSIN machine tools (not primary manufacturer). Falls in excluded category: distributors, dealers, resellers.",NEAR,medium,"CNC machine tool manufacturer, Japanese parent Shin Nippon Koki, North American operations <$100M",https://www.snkamerica.com,hard_miss,wrong_tier
38,CUMI America Inc,"Cutting Tools, Tooling & Workholding",Yes,"$500M-$600M (parent, est.)",NO,"Abrasives and ceramic products manufacturer. Excluded category: process manufacturers (abrasives, ceramics are consumables/materials).",YES,high,"Abrasive manufacturer (in-scope), subsidiary Carborundum Universal India ₹4,834 crores ~$580M+",https://www.cumi-murugappa.com,hard_miss,exact
39,Adelbert Haas LLC,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NEAR,"Grinding machine manufacturer (Multigrind models). Complex industrial machinery with configurable components. Revenue €25M (~$27M), well under $100M.",NEAR,low,"Precision grinding machines (in-scope), German manufacturer, revenue not disclosed likely <$100M",http://ahaas.com/,exact,exact
40,Royal Products,Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NO,"Workholding and machining accessories (chucks, fixtures, collets). Component-level suppliers, not complex assembled equipment.",NEAR,low,"CNC workholding and tooling components (in-scope), revenue not disclosed likely <$100M",https://www.royalproducts.com,hard_miss,exact
41,Cesare Galdabini spa,Metrology & Inspection,Near-ICP,$50M-$100M (est.),NEAR,"Industrial machinery manufacturer (automatic straightening, testing, hydraulic presses). Specialized equipment with complex configurations. Revenue €40M (~$43M), under $100M.",NEAR,high,"Material testing machines (metrology in-scope), hydraulic presses, $8M revenue <<$100M",https://www.galdabini.it,exact,exact
42,"Jingdiao North America, Inc.",Machine Tools & Fabrication Machinery,Yes,"$200M+ (est., parent)",YES,"High-speed machining centers (3-axis, 5-axis mills, graphite mills). Complex industrial equipment with many parts/variants. Global group $1.5B output; NA operation substantial.",YES,high,"CNC machine tools, subsidiary Jingdiao Group China $581M+ revenue, 12000+ units/year",https://www.jingdiao.com,exact,exact
43,Fives Cincinnati,Machine Tools & Fabrication Machinery,Yes,"$2.5B (Fives Group, est.)",YES,"Machine tool manufacturer (bed, gantry, bridge type). Complex industrial machinery. Parent Fives Group: $2.6B revenue, well above $100M threshold.",YES,high,"Machine tools (legacy Cincinnati brand), subsidiary Fives Group €2.1B+, industrial machinery",https://www.fivesgroup.com,exact,exact
44,Nicolás Correa,Machine Tools & Fabrication Machinery,Yes,~$120M (2024),NEAR,"Large volume milling machine manufacturer (bed, gantry, bridge-type). Complex configurable equipment with 5400+ machines installed globally. Revenue €76.5M (~$82M), under $100M.",YES,high,"Industrial milling machines, €126M annualized revenue >$100M, industrial machinery",https://www.nicolascorrea.com,wrong_tier,exact
45,Coval Vacuum Technology Inc.,"Automation, Robotics & Material Handling",Near-ICP,$50M-$100M (est.),NO,"Vacuum gripper and component manufacturer. Automation accessories/components, not complex assembled industrial equipment.",YES,medium,"Vacuum handling components (in-scope), estimated revenue $100-250M range",https://www.coval.com,hard_miss,wrong_tier
46,Prusa Research,Machine Tools & Fabrication Machinery,Yes,$100M-$200M (est.),YES,"3D printer mfg with 50+ models/variants, complex configurable products, ~$120M revenue, owns 3D CAD assets",NO,high,"3D printer equipment manufacturer, not industrial product manufacturer with deep catalogues of discrete products",https://prusa3d.com,exact,hard_miss
47,"Noritake U.S.A., Inc.","Cutting Tools, Tooling & Workholding",Yes,"~$1B (Noritake group, est.)",NO,Excluded: consumer retail. Tableware/ceramics manufacturer; consumer-focused product,YES,high,"Parent Noritake Co. ~$948M revenue. Industrial abrasives (grinding wheels, CBN tools, coated abrasives) IN SCOPE with deep product catalogue",https://stockanalysis.com/quote/tyo/5331/revenue/,hard_miss,exact
48,icotek corp,"Shop Support, Components & Consumables",Near-ICP,$50M-$100M (est.),NO,Fails core test. Cable gland/management components are simple; lacks 50+ part complexity,NEAR,medium,"Cable management and EMC systems (shop support IN SCOPE), global manufacturer with diverse product range, estimated revenue likely under $100M",https://www.icotek.com/en/company,hard_miss,exact
49,"YOU JI MACHINE INDUSTRIAL CO., LTD.",Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),YES,"CNC vertical lathes with extensive configurability, 50+ models/variants, $150M+ revenue estimate, dealers worldwide",YES,medium-high,"CNC vertical turning lathes (machines IN SCOPE), multiple models with configurations, Taiwan's leading manufacturer, historical revenue $100-150M (2006-2009)",https://www.youji.com/en/about,wrong_tier,wrong_tier
50,Formlabs,Machine Tools & Fabrication Machinery,Yes,$250M-$400M (est.),YES,"3D printer mfg with complex configurable products, $750M revenue 2024, owns 3D/CAD assets",NO,high,"3D printer hardware manufacturer plus service bureau (service excluded). Equipment manufacturer, not industrial product manufacturer",https://formlabs.com/products/3d-printers/,exact,hard_miss
51,VICIVISION America - METRIOS America,Metrology & Inspection,Near-ICP,$50M-$100M (est.),NO,"Fails core test. Optical measurement/inspection systems, not configurable industrial products",NEAR,high,"Optical measuring machines/CMMs (metrology explicitly IN SCOPE), parent Vici & C ~€65M revenue (~$70M), under $100M threshold",https://www.vicivision.com/company/,hard_miss,exact
52,Quintus Technologies,Machine Tools & Fabrication Machinery,Yes,$100M-$500M (est.),YES,"High-pressure isostatic presses; complex industrial equipment, 50+ part systems, $115M acquisition price suggests substantial revenue",NO,medium-high,"Isostatic press capital equipment manufacturer (Kobe Steel subsidiary). Specialized equipment vendor, not industrial product manufacturer with deep discrete product catalogues",https://quintustechnologies.com/,exact,hard_miss
53,MITSUI SEIKI,Machine Tools & Fabrication Machinery,Yes,$100M-$500M (est.),YES,"Precision machine tools (50+ models), highly customizable, $300M revenue, complex configurable products",YES,high,"CNC precision machine tools (machines IN SCOPE), parent revenue $300M, multiple models for aerospace, mold & die, precision manufacturing",https://www.mitsuiseiki.com/,exact,exact
54,"Yukiwa Seiko U.S.A., Inc.",Machine Tools & Fabrication Machinery,Near-ICP,$50M-$100M (est.),NO,"Fails core test. Machine tool components (chucks, toolholders) are not complex configurable products",NEAR,medium,"Drill chucks, spring collets, rotary tables, workholding (IN SCOPE), deep product catalogue, Japan-based precision manufacturer, estimated revenue likely under $100M",https://www.yukiwa.co.jp/e/,hard_miss,exact
55,WEILER ABRASIVES,"Cutting Tools, Tooling & Workholding",Yes,$300M-$500M (est.),NO,"Excluded: process manufacturer. Grinding wheels/abrasives are consumables, not complex products",YES,high,"Grinding wheels, abrasives, surface conditioning (explicitly IN SCOPE), $194.2M revenue, 65+ product subcategories with deep catalogue",https://www.weilerabrasives.com/company,hard_miss,exact
56,Nagel Precision Inc.,Machine Tools & Fabrication Machinery,Yes,"$100M-$500M (Nagel Group, est.)",NEAR,"Passes core test (honing/superfinishing machinery, complex equipment). Revenue $23.1M (2025) below $100M threshold",NEAR,medium,"Honing machines and tools (machines IN SCOPE), global Nagel Group presence, specialized product focus, estimated revenue likely under $100M",https://www.nagelusa.com/,wrong_tier,wrong_tier
57,"Werth, Inc.",Metrology & Inspection,Yes,$100M-$150M (est.),NO,"Fails core test. Precision measurement/CMM systems are inspection tools, not configurable manufacturing products",NEAR,high,"Optical coordinate measuring machines and CMMs (metrology explicitly IN SCOPE), $21.8M revenue, significantly under $100M threshold",https://werthinc.com/,hard_miss,wrong_tier
58,Waldmann Lighting,Machine Tools & Fabrication Machinery,Yes,$100M-$200M (est.),NO,Excluded: building products & architectural specification. Industrial lighting fixtures,YES,medium-high,"Industrial lighting for shop environments (shop support IN SCOPE), parent Herbert Waldmann GmbH established 1928 with global presence (13 countries), likely parent revenue over $100M",https://waldmannlighting.com/,hard_miss,exact
59,"Samchully Workholding, Inc.","Cutting Tools, Tooling & Workholding",Yes,$100M-$300M (est.),NO,"Fails core test. Machine tool accessories (chucks, toolholders) lack 50+ part complexity",NEAR,medium,"Chucks, cylinders, workholding (tooling & workholding IN SCOPE), deep product catalogue, parent Samchully Machinery Co. (Korea-based, 1974 founded), estimated revenue likely under $100M",https://samchullyworkholding.com/,hard_miss,wrong_tier
60,"Nikon Metrology, Inc.",Metrology & Inspection,Yes,"$4.5B (Nikon group, FY2024)",NO,"Fails core test. Measurement/CMM systems are inspection tools, not configurable manufacturing products",YES,high,"Optical measurement systems, CMMs, X-ray inspection (metrology explicitly IN SCOPE), parent Nikon Corporation $6.38B revenue, well over $100M threshold",https://industry.nikon.com/en-us/products/,hard_miss,exact
