company_id,company_name,domain,linkedin_url,industry,employees,size_band,blitz_revenue,segment,source,agent_verdict,agent_confidence,agent_reason,agent_model,agent_run,reason_trust
11956,DENSO,denso.com,https://www.linkedin.com/company/denso,Motor Vehicle Manufacturing,19013,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Major automotive systems supplier (climate, safety, robotics)",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11955,BorgWarner,borgwarner.com,https://www.linkedin.com/company/borgwarner,Motor Vehicle Manufacturing,18907,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Global automotive product leader with mobility solutions,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10380,ITW,itw.com,https://www.linkedin.com/company/illinoistoolworks,Machinery Manufacturing,18874,10001+,-,casual-connections,repo_sourcing,FIT,high,"Multi-industrial manufacturer with 43,000 employees; seven industry segments",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11966,Adient,adient.com,https://www.linkedin.com/company/adient,Motor Vehicle Manufacturing,16930,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Global automotive seating supplier with 200+ plants,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11958,Dana Incorporated,dana.com,https://www.linkedin.com/company/dana-incorporated,Motor Vehicle Manufacturing,16756,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Drive systems, thermal management, sealing supplier 120+ years",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10378,Trane Technologies,tranetechnologies.com,https://www.linkedin.com/company/tranetechnologies,Industrial Machinery Manufacturing,15494,10001+,-,casual-connections,repo_sourcing,FIT,high,Climate solutions and HVAC equipment manufacturer; Trane and Thermo King,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10372,Ingersoll Rand,irco.com,https://www.linkedin.com/company/ingersoll-rand,Industrial Machinery Manufacturing,15481,10001+,-,casual-connections,repo_sourcing,FIT,high,"Compressed air, vacuum, flow control equipment; 80+ respected brands",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11947,Pirelli,pirelli.com,https://www.linkedin.com/company/pirelli,Motor Vehicle Manufacturing,15276,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Tire manufacturer with 30K+ products catalogue,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10371,Flowserve Corporation,flowserve.com,https://www.linkedin.com/company/flowserve,Industrial Machinery Manufacturing,14952,10001+,3700000000,casual-connections,repo_sourcing,FIT,high,"Pumps, valves, seals manufacturer; 230 years of flow solutions",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10367,AGCO Corporation,agcocorp.com,https://www.linkedin.com/company/agco-corporation,Machinery Manufacturing,13401,10001+,-,casual-connections,repo_sourcing,FIT,high,Agricultural machinery manufacturer with comprehensive equipment portfolio,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10374,Trane,trane.com,https://www.linkedin.com/company/trane,Industrial Machinery Manufacturing,12252,10001+,-,casual-connections,repo_sourcing,FIT,high,HVAC equipment and building systems manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11961,Visteon Corporation,visteon.com,https://www.linkedin.com/company/visteon,Motor Vehicle Parts Manufacturing,10802,10001+,3100000000,ivt-expo-off-highway,repo_sourcing,FIT,high,"Automotive electronics supplier (cockpit, EV tech, controllers)",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
21385,SMC Corporation of America,smcusa.com,https://www.linkedin.com/company/smc,Automation Machinery Manufacturing,9921,10001+,-,Fabricating & Lasers,imts_exhibitor,FIT,high,Manufacturer of industrial products,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10415,ITT Inc.,itt.com,https://www.linkedin.com/company/itt,Industrial Machinery Manufacturing,9765,10001+,-,casual-connections,repo_sourcing,FIT,high,Engineered components and customized technology solutions for multiple sectors,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
21024,"Canon U.S.A.,Inc.",usa.canon.com,https://www.linkedin.com/company/canonusa,Computers and Electronics Manufacturing,9679,5001-10000,-,Automation,imts_exhibitor,FIT,medium,Imaging solutions and hardware manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11973,AAM - American Axle & Manufacturing,aam.com,https://www.linkedin.com/company/americanaxle,Automotive,9413,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Driveline, powertrain components supplier for vehicles",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10386,Gates Corporation,gates.com,https://www.linkedin.com/company/gates-corporation,Automation Machinery Manufacturing,8523,10001+,-,casual-connections,repo_sourcing,FIT,high,Fluid power and power transmission components manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10403,The Timken Company,timken.com,https://www.linkedin.com/company/the-timken-company,Industrial Machinery Manufacturing,8357,10001+,-,casual-connections,repo_sourcing,FIT,high,"Advanced motion, engineered bearings and power transmission components",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11972,Joyson Safety Systems,joysonsafety.com,https://www.linkedin.com/company/joyson-safety-systems,Motor Vehicle Manufacturing,8209,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Safety components and systems supplier globally,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10388,Terex Corporation,terex.com,https://www.linkedin.com/company/terex,Machinery Manufacturing,8156,5001-10000,-,casual-connections,repo_sourcing,FIT,high,"Specialized equipment manufacturer for emergency, waste, construction",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11971,Nexteer Automotive,nexteer.com,https://www.linkedin.com/company/nexteer-automotive,Motor Vehicle Manufacturing,8146,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Steering systems, driveline systems supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11982,Cooper Standard,cooperstandard.com,https://www.linkedin.com/company/cooper-standard-automotive,Motor Vehicle Parts Manufacturing,8123,10001+,3600000000,ivt-expo-off-highway,repo_sourcing,FIT,high,Sealing and fluid handling systems supplier,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11992,Oshkosh Corporation,oshkoshcorp.com,https://www.linkedin.com/company/oshkosh-corporation,Motor Vehicle Manufacturing,7246,10001+,6800000000,ivt-expo-off-highway,repo_sourcing,FIT,high,"Industrial equipment manufacturer (JLG lifts, aerial platforms)",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10440,Snap-on,snapon.com,https://www.linkedin.com/company/snap-on,Machinery Manufacturing,7123,10001+,-,casual-connections,repo_sourcing,FIT,high,"Tools, equipment, diagnostics and systems; thousands of products",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
20571,Kennametal Inc.,kennametal.com,https://www.linkedin.com/company/kennametal,Machinery Manufacturing,6680,10001+,2400000000,Tooling & Workholding,imts_exhibitor,FIT,high,Quick mold change and workholding automation systems manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10396,Dover Corporation,dovercorporation.com,https://www.linkedin.com/company/dovercorp,Machinery Manufacturing,6415,10001+,-,casual-connections,repo_sourcing,FIT,high,Diversified manufacturer with $8B revenue; equipment and components,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11985,Clarios,clarios.com,https://www.linkedin.com/company/clarios,Motor Vehicle Parts Manufacturing,6402,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Battery manufacturer; 150M+ batteries yearly, component supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11993,Yazaki North America,yazaki-na.com,https://www.linkedin.com/company/yazaki-north-america,Motor Vehicle Manufacturing,6357,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Wire harnesses, connectors, sensors supplier globally",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10433,The Toro Company,thetorocompany.com,https://www.linkedin.com/company/the-toro-company,Machinery Manufacturing,6292,10001+,-,casual-connections,repo_sourcing,FIT,high,Portfolio of global brands making outdoor power and turf equipment,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12026,Flex-N-Gate,flex-n-gate.com,https://www.linkedin.com/company/flex-n-gate,Automotive,6210,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Plastics, metals, mechanical assemblies supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11986,IAC Group,iacgroup.com,https://www.linkedin.com/company/iac-group,Motor Vehicle Manufacturing,6161,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Interior systems supplier (panels, consoles, headliners)",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12012,TI Automotive,tifluidsystems.com,https://www.linkedin.com/company/ti-automotive,Motor Vehicle Manufacturing,6006,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Tier 1 fluid systems supplier with 100+ years experience,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10391,Lincoln Electric,lincolnelectric.com,https://www.linkedin.com/company/lincoln-electric,Machinery Manufacturing,5838,10001+,2600000000,casual-connections,repo_sourcing,FIT,high,"Arc welding, robotic welding systems, plasma/oxyfuel cutting equipment",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10700,ESAB Corporation,esabcorporation.com,https://www.linkedin.com/company/esabcorporation,Machinery Manufacturing,5645,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Precision measurement instruments manufacturer; aerosol/air flow expertise.,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10426,Schindler Elevator Corporation (U.S.),schindler.com,https://www.linkedin.com/company/schindler-elevator-corporation,Industrial Machinery Manufacturing,5242,10001+,-,casual-connections,repo_sourcing,FIT,high,Elevator and escalator manufacturer with global operations,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10492,Altec,altec.com,https://www.linkedin.com/company/altec,Machinery Manufacturing,5184,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Fuel dispensing and automation equipment manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
21322,Brady,bradyid.com,https://www.linkedin.com/company/brady-corporation,Manufacturing,5003,5001-10000,1100000000,Fabricating & Lasers,imts_exhibitor,FIT,medium,Industrial manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10423,Graco,graco.com,https://www.linkedin.com/company/gracoinc,Machinery Manufacturing,4998,1001-5000,1500000000,casual-connections,repo_sourcing,FIT,high,Fluid handling product manufacturer serving multiple industries,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10393,Daikin Applied Americas,daikinapplied.com,https://www.linkedin.com/company/daikin-applied,Industrial Machinery Manufacturing,4890,10001+,-,casual-connections,repo_sourcing,FIT,high,HVAC equipment manufacturer serving North America and 140+ countries,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10437,Hyster-Yale Materials Handling,hyster-yale.com,https://www.linkedin.com/company/hyster-yale-group,Machinery Manufacturing,4595,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Lift trucks and material handling equipment manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10395,Daikin Comfort,bit.ly,https://www.linkedin.com/company/daikin-comfort-technologies,Industrial Machinery Manufacturing,4558,10001+,-,casual-connections,repo_sourcing,FIT,high,HVAC and comfort systems manufacturer for residential and commercial,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10461,Barry-Wehmiller,barrywehmiller.com,https://www.linkedin.com/company/barry-wehmiller,Machinery Manufacturing,4524,10001+,-,casual-connections,repo_sourcing,FIT,high,Agricultural and industrial equipment manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10468,"TEAM, Inc.",teaminc.com,https://www.linkedin.com/company/team-inc1,Industrial Machinery Manufacturing,4269,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Motors and drives manufacturer; Baldor-Reliance brand,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11238,Toyota Material Handling North America,-,https://www.linkedin.com/company/toyota-material-handling-north-america,Industrial Machinery Manufacturing,4219,5001-10000,-,industrial-mfg-plm-cad,repo_sourcing,FIT,high,Forklifts and material handling equipment - major manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10389,"SPX FLOW, now ITT Flow Technologies",spxflow.com,https://www.linkedin.com/company/spx-flow,Industrial Machinery Manufacturing,4101,1001-5000,1400000000,casual-connections,repo_sourcing,FIT,high,"Pumps, valves, mixers, heat exchangers and flow equipment",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11988,Meritor,meritor.com,https://www.linkedin.com/company/meritor,Motor Vehicle Manufacturing,4031,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Axles, brakes, suspensions, drivelines supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12032,Lippert,lippert.com,https://www.linkedin.com/company/lippert,Automotive,4025,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"RV, automotive, marine products supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10436,Swagelok,swagelok.com,https://www.linkedin.com/company/swagelok,Industrial Machinery Manufacturing,3930,5001-10000,-,casual-connections,repo_sourcing,FIT,high,"Fluid system components; valves, regulators, hoses, fittings catalogue",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12018,Inteva Products,intevaproducts.com,https://www.linkedin.com/company/inteva-products-llc,Motor Vehicle Manufacturing,3926,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Interior systems, door systems, motors supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12077,JTEKT North America Corporation,jtekt-na.com,https://www.linkedin.com/company/jtekt-corporation,Motor Vehicle Parts Manufacturing,3891,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Steering systems, bearings, driveline manufacturer—subsidiary arm.",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10410,3D Systems Corporation,3dsystems.com,https://www.linkedin.com/company/3d-systems,Industrial Machinery Manufacturing,3707,1001-5000,-,casual-connections,repo_sourcing,FIT,high,3D printing equipment and additive manufacturing systems manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12033,Toyota Boshoku America,toyota-boshoku.com,https://www.linkedin.com/company/toyota-boshoku-america,Motor Vehicle Manufacturing,3700,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Interior systems, filtration, powertrain components supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10387,ESAB,esab.com,https://www.linkedin.com/company/esab,Machinery Manufacturing,3698,5001-10000,-,casual-connections,repo_sourcing,FIT,high,"Welding equipment, consumables and automation systems",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10506,NSK,nsk.com,https://www.linkedin.com/company/nskamericas,Machinery Manufacturing,3669,10001+,-,casual-connections,repo_sourcing,FIT,high,Cooling technology and compressors manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10954,Amsted Industries,amsted.com,https://www.linkedin.com/company/amsted-industries,Industrial Machinery Manufacturing,3608,10001+,-,industrial-mfg-plm-cad,repo_sourcing,FIT,high,Evaporator coils and heat transfer components manufacturer; world's largest.,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12025,Takata,takata.com,https://www.linkedin.com/company/takata,Motor Vehicle Manufacturing,3606,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Safety systems supplier (seat belts, airbags)",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10427,Victaulic,victaulic.com,https://www.linkedin.com/company/victaulic,Industrial Machinery Manufacturing,3503,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Mechanical pipe joining solutions and components manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12128,"Forest River, Inc",forestriverinc.com,https://www.linkedin.com/company/forest-river-inc.,Motor Vehicle Manufacturing,3263,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,RV and commercial vehicle manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10494,Dover Fueling Solutions,doverfuelingsolutions.com,https://www.linkedin.com/company/dover-fueling-solutions,Automation Machinery Manufacturing,3209,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Cooling towers and heat transfer equipment manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10498,Saint-Gobain Abrasives,saint-gobain-surfacesolutions.com,https://www.linkedin.com/company/saint-gobain-abrasives,Industrial Machinery Manufacturing,3183,10001+,-,casual-connections,repo_sourcing,FIT,high,"Material handling solutions; hoists, chains, winches, actuators",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
11999,Allison Transmission,allisontransmission.com,https://www.linkedin.com/company/allison-transmission,Motor Vehicle Manufacturing,3089,1001-5000,2300000000,ivt-expo-off-highway,repo_sourcing,FIT,high,Transmission manufacturer for commercial/defense vehicles,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10409,JLG Industries,jlg.com,https://www.linkedin.com/company/jlg-industries,Machinery Manufacturing,3083,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Access equipment and material handler manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10435,Toyota Material Handling,toyotaforklift.com,https://www.linkedin.com/company/toyota-material-handling,Machinery Manufacturing,3015,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Material handling equipment manufacturer; forklifts and automation solutions,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10442,Tennant Company,tennantco.com,https://www.linkedin.com/company/tennant-company,Machinery Manufacturing,3000,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Commercial cleaning equipment manufacturer; floor care solutions,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
13096,Watts Water Technologies,watts.com,https://www.linkedin.com/company/wattswater,Wholesale Building Materials,2981,5001-10000,-,aftermarket-oems,repo_sourcing,FIT,high,"Watts Water: plumbing, HVAC, flow control, water quality industrial solutions — components/systems.",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10496,Watlow,watlow.com,https://www.linkedin.com/company/watlow,Industrial Machinery Manufacturing,2891,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Engineered access solutions designer and manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12058,"Sumitomo Electric Wiring Systems, Inc.",sewsus.com,https://www.linkedin.com/company/sumitomo-electric-wiring-systems,Motor Vehicle Manufacturing,2798,1001-5000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Automotive electrical components supplier to OEMs.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12017,Sogefi Group,sogefigroup.com,https://www.linkedin.com/company/sogefi,Motor Vehicle Parts Manufacturing,2705,1001-5000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Suspension and cooling flow management systems supplier,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12027,"North American Lighting, Inc.",nal.com,https://www.linkedin.com/company/north-american-lighting,Motor Vehicle Manufacturing,2678,1001-5000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Exterior automotive lighting Tier-1 supplier,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10447,Nordson Corporation,nordson.com,https://www.linkedin.com/company/nordson-corporation,Machinery Manufacturing,2664,5001-10000,2100000000,casual-connections,repo_sourcing,FIT,high,Injection molding and extrusion solutions manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10511,Tecumseh,tecumseh.com,https://www.linkedin.com/company/tecumseh,Industrial Machinery Manufacturing,2609,5001-10000,724400000,casual-connections,repo_sourcing,FIT,high,Metals processing equipment manufacturer for steel industry,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10531,SPX Technologies,spx.com,https://www.linkedin.com/company/spx-technologies,Industrial Machinery Manufacturing,2608,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Industrial drives and motion control systems manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10384,Cognex Corporation,cognex.com,https://www.linkedin.com/company/cognex-corporation,Automation Machinery Manufacturing,2567,1001-5000,748000000,casual-connections,repo_sourcing,FIT,high,Machine vision systems and sensors manufacturer for industrial automation,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12008,Yokohama Tire Corporation,yokohamatire.com,https://www.linkedin.com/company/yokohamatirecorp,Automotive,2543,1001-5000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Tire manufacturer since 1917; premium tires portfolio,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10453,The Manitowoc Company,manitowoc.com,https://www.linkedin.com/company/the-manitowoc-company,Machinery Manufacturing,2542,1001-5000,-,casual-connections,repo_sourcing,FIT,high,"Industrial automation products; sensors, controls, lighting, safety",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10502,ALKEGEN,alkegen.com,https://www.linkedin.com/company/alkegen,Industrial Machinery Manufacturing,2515,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Flow technology equipment manufacturer serving multiple industries,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10529,Parker Lord,lord.com,https://www.linkedin.com/company/parkerlord,Industrial Machinery Manufacturing,2426,1001-5000,-,casual-connections,repo_sourcing,FIT,high,"Mechanical components; bearings, belts, couplings, gear drives",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10405,Kubota Tractor Corporation,linktr.ee,https://www.linkedin.com/company/kubota-tractor-corporation,Machinery Manufacturing,2403,1001-5000,-,casual-connections,repo_sourcing,FIT,high,"Agricultural, construction and utility equipment manufacturer",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10451,Gardner Denver,gardnerdenver.com,https://www.linkedin.com/company/gardner-denver,Machinery Manufacturing,2362,5001-10000,-,casual-connections,repo_sourcing,FIT,high,Flow control solutions; valve manufacturer serving multiple industries,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10455,"Chart Industries, Inc.",chartindustries.com,https://www.linkedin.com/company/chart-industries,Industrial Machinery Manufacturing,2361,10001+,-,casual-connections,repo_sourcing,FIT,high,Aerial work platforms and scissor lifts equipment manufacturer,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10548,Enpro Inc.,enpro.com,https://www.linkedin.com/company/about-enpro,Industrial Machinery Manufacturing,2309,1001-5000,-,casual-connections,repo_sourcing,FIT,high,"Metal components; die casting, stamping, machining; 13 facilities",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10373,Omron Automation,omron.com,https://www.linkedin.com/company/omron-automation-americas,Automation Machinery Manufacturing,2306,1001-5000,-,casual-connections,repo_sourcing,FIT,high,"Industrial automation: sensors, PLCs, motion control, machine vision",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12139,Superior Industries,supind.com,https://www.linkedin.com/company/superior-industries,Motor Vehicle Manufacturing,2273,5001-10000,1100000000,ivt-expo-off-highway,repo_sourcing,FIT,high,Aluminum wheel supplier with finishes and technologies.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11996,DRiV,driv.com,https://www.linkedin.com/company/driv-incorporated,Motor Vehicle Manufacturing,2269,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"31 aftermarket brands with 100+ years heritage, parts catalogue",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
10573,Enerpac Tool Group,enerpactoolgroup.com,https://www.linkedin.com/company/enerpac-tool-group,Industrial Machinery Manufacturing,2263,1001-5000,-,casual-connections,repo_sourcing,FIT,high,Industrial tools and hydraulic solutions manufacturer with diverse product portfolio.,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12060,Srg Global,srgglobal.com,https://www.linkedin.com/company/srg-global-inc,Motor Vehicle Manufacturing,2263,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Functional automotive components/trim systems manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12140,Subaru of Indiana Automotive,subaru-sia.com,https://www.linkedin.com/company/subaru-of-indiana-automotive,Motor Vehicle Manufacturing,2257,5001-10000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Vehicle manufacturing facility.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
12004,Dorman Products,dormanproducts.com,https://www.linkedin.com/company/dorman-products,Motor Vehicle Parts Manufacturing,2227,1001-5000,903200000,ivt-expo-off-highway,repo_sourcing,FIT,high,144K+ aftermarket replacement automotive parts catalogue,claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
12036,Panasonic Automotive North America,panasonic.com,https://www.linkedin.com/company/panasonic-automotive-systems,Motor Vehicle Manufacturing,2205,501-1000,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Infotainment, audio, HMI, sensors supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,low-recheck
