company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
"Tech Army, LLC",https://www.linkedin.com/company/tech-army-llc,techarmy.com,IT Services and IT Consulting,Privately Held,51-200,60,2016,Plantation,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Sense,https://www.linkedin.com/company/sensehq,sensehq.com,Software Development,Privately Held,201-500,478,2016,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
CTP,https://www.linkedin.com/company/ctpconsulting,ctpconsulting.com,Information Technology and Services,Privately Held,51-200,99,2010,San Francisco Bay,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Strobes Security, Inc.",https://www.linkedin.com/company/strobeshq,strobes.co,Computer and Network Security,Privately Held,51-200,104,2024,Plano,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Intellicus Technologies,https://www.linkedin.com/company/intellicus-technologies,intellicus.com,Software Development,Privately Held,51-200,230,2004,Los Gatos,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Reltio,https://www.linkedin.com/company/reltio-inc,reltio.com,Software Development,Privately Held,201-500,702,2011,Redwood Shores,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Abridge,https://www.linkedin.com/company/abridgehq,abridge.com,Artificial Intelligence,Privately Held,201-500,676,2018,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
AceStack,https://www.linkedin.com/company/acestack,ace-stack.com,Software Development,Partnership,51-200,70,2017,Hamilton Square,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Reqroute, Inc",https://www.linkedin.com/company/reqroute,reqroute.com,Staffing and Recruiting,Privately Held,201-500,93,-,-,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Alphanumeric Systems,https://www.linkedin.com/company/alphanumeric-systems,alphanumeric.com,Pharmaceutical Manufacturing,Privately Held,201-500,440,1979,Raleigh,North Carolina,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
QuantumBricks,https://www.linkedin.com/company/quantumbricks-inc,quantumbricks.io,IT Services and IT Consulting,Privately Held,201-500,169,2014,Newark,Delaware,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Tezo,https://www.linkedin.com/company/tezo,tezo.com,IT Services and IT Consulting,Privately Held,201-500,272,2012,Plano,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Onebridge,https://www.linkedin.com/company/onebridgetech,onebridge.tech,IT Services and IT Consulting,Privately Held,201-500,82,2005,Indianapolis,Indiana,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Informatic Technologies, Inc.",https://www.linkedin.com/company/informatic-technologies-inc,informatictech.com,Information Technology and Services,Privately Held,201-500,90,1996,North Brunswick,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Ramp Health,https://www.linkedin.com/company/ramphealth-com,ramphealth.com,Hospitals and Health Care,Privately Held,201-500,882,2002,Blue Bell,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"SMX Services & Consulting, Inc.",https://www.linkedin.com/company/smx-services-&-consulting-inc-,smxusa.com,IT Services and IT Consulting,Privately Held,201-500,200,1997,Miami,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"ActiveSoft, Inc",https://www.linkedin.com/company/active-soft-inc,activesoftinc.com,Staffing and Recruiting,Privately Held,201-500,86,2007,Smyrna,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Milestone Inc,https://www.linkedin.com/company/milestone-internet-marketing,milestoneinternet.com,Technology; Information and Internet,Privately Held,201-500,563,1998,San Jose,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Wellness Coaches,https://www.linkedin.com/company/wellness-coaches-usa,ramphealth.com,Wellness and Fitness Services,Privately Held,201-500,578,2002,Blue Bell,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Hippocratic AI,https://www.linkedin.com/company/hippocratic-ai-health,hippocraticai.com,Hospitals and Health Care,Privately Held,51-200,365,2023,Palo Alto,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Questrom School of Business, Boston University",https://www.linkedin.com/school/questrom-school-of-business-boston-university,bu.edu,Higher Education,Educational Institution,201-500,861,1913,Boston,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Eat Just, Inc.",https://www.linkedin.com/company/eat-just-inc,ju.st,Food Production,Privately Held,51-200,383,2011,Alameda,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Ushur,https://www.linkedin.com/company/ushur-me,ushur.ai,Software Development,Privately Held,51-200,248,2014,Santa Clara,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Rivago Infotech Inc,https://www.linkedin.com/company/rivago-infotech-inc,rivagoinfotech.com,Staffing and Recruiting,Privately Held,51-200,31,2017,Wilmington,Delaware,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Sciometrix,https://www.linkedin.com/company/sciometrix,sciometrix.com,Hospitals and Health Care,Privately Held,51-200,97,2016,Detroit,Michigan,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Leapfrog Technology, Inc.",https://www.linkedin.com/company/lftechnology,lftechnology.com,Software Development,Privately Held,201-500,525,2010,Seattle,Washington,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"KMM Technologies, Inc.",https://www.linkedin.com/company/kmm-technologies-inc,kmmtechnologies.com,IT Services and IT Consulting,Privately Held,201-500,107,2003,Frederick,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
RAZOR,https://www.linkedin.com/company/razor-gov,razor-gov.com,IT Services and IT Consulting,Partnership,51-200,153,2018,Red Bank,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Tia,https://www.linkedin.com/company/asktia,asktia.com,Hospitals and Health Care,Privately Held,201-500,403,2019,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Plan A Technologies,https://www.linkedin.com/company/plan-a-tech,planatechnologies.com,Software Development,Privately Held,201-500,416,-,Las Vegas,Nevada,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
INFOLOB,https://www.linkedin.com/company/infolob-global,infolob.com,IT Services and IT Consulting,Privately Held,201-500,437,2009,Irving,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Modern Health,https://www.linkedin.com/company/modern-health,modernhealth.com,Mental Health Care,Privately Held,201-500,914,2017,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Apptronik,https://www.linkedin.com/company/apptronik-inc.,apptronik.com,Robot Manufacturing,Privately Held,201-500,528,-,Austin,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
BoomerangFX,https://www.linkedin.com/company/boomerangfx,boomerangfx.com,Software Development,Privately Held,201-500,117,-,Miami,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Cloud and Things,https://www.linkedin.com/company/cloud-and-things,cloudandthings.com,IT Services and IT Consulting,Privately Held,51-200,70,-,Troy,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
TrueFan AI,https://www.linkedin.com/company/truefan-ai,truefan.in,Software Development,Privately Held,201-500,182,2020,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Hunter,https://www.linkedin.com/company/hunterny,hunterpr.com,Public Relations and Communications Services,Partnership,201-500,1079,1989,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Fulfillment IQ,https://www.linkedin.com/company/fulfillmentiq_,fulfillmentiq.com,IT Services and IT Consulting,Privately Held,51-200,126,-,Atlanta,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
MikeWorldWide,https://www.linkedin.com/company/mww-group,mww.com,Public Relations and Communications Services,Privately Held,51-200,474,1986,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Virtelligence,https://www.linkedin.com/company/virtelligence,virtelligence.com,IT Services and IT Consulting,Privately Held,201-500,128,1998,Minneapolis,Minnesota,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
PulsePoint,https://www.linkedin.com/company/pulsepoint,pulsepoint.com,Advertising Services,Privately Held,201-500,305,2011,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
ShiftMed,https://www.linkedin.com/company/shiftmed,shiftmed.com,Hospitals and Health Care,Privately Held,201-500,1448,-,McLean,Virginia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Aidoc,https://www.linkedin.com/company/aidoc,aidoc.com,Hospitals and Health Care,Privately Held,201-500,628,2016,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Suffescom Solutions Inc,https://www.linkedin.com/company/suffescom,suffescom.com,Software Development,Privately Held,201-500,307,2013,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"K3-Innovations, Inc.",https://www.linkedin.com/company/k3-innovations,k3-innovations.com,Biotechnology Research,Privately Held,51-200,30,2013,Plainsboro,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Vaiticka Solution,https://www.linkedin.com/company/vaiticka-solution,vaiticka.com,IT Services and IT Consulting,Privately Held,51-200,28,-,Georgia,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Johnson & Johnson Health and Wellness Solutions, Inc.",https://www.linkedin.com/company/jjhws,jnjhws.com,Health; Wellness and Fitness,Public Company,51-200,968,-,New Brunswick,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
UsefulBI Corporation,https://www.linkedin.com/company/usefulbi-corporation,usefulbi.com,Software Development,Privately Held,201-500,214,2014,San Ramon,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
engineersmind,https://www.linkedin.com/company/engineersmind,engineersmind.com,Software Development,Privately Held,51-200,125,2016,Jersey City,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Butterfly Network, Inc.",https://www.linkedin.com/company/butterflynetwork,butterflynetwork.com,Medical Equipment Manufacturing,Public Company,51-200,461,2011,Burlington,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Redesign Health,https://www.linkedin.com/company/redesign-health,redesignhealth.com,Venture Capital and Private Equity Principals,Privately Held,51-200,248,2018,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Reveal HealthTech,https://www.linkedin.com/company/reveal-healthtech,revealhealthtech.com,IT Services and IT Consulting,Privately Held,51-200,80,-,New York City,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Cloudphysician,https://www.linkedin.com/company/cloudphysicianindia,cloudphysician.net,Hospitals and Health Care,Privately Held,201-500,277,2017,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Novatore Solutions,https://www.linkedin.com/company/novatore-solutions,novatoresols.com,IT Services and IT Consulting,Privately Held,51-200,78,2015,Dover,Delaware,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
tCognition,https://www.linkedin.com/company/tcognition,tcognition.com,IT Services and IT Consulting,Privately Held,51-200,175,2003,Boston,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
CertifyOS,https://www.linkedin.com/company/certifyos,certifyos.com,Software Development,Privately Held,201-500,335,2021,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Codem Inc.,https://www.linkedin.com/company/codemtechnologies,codem.com,Software Development,Privately Held,51-200,76,2017,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Get Well,https://www.linkedin.com/company/getwellnetwork,getwellnetwork.com,Hospitals and Health Care,Privately Held,201-500,417,2000,Bethesda,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Blutic,https://www.linkedin.com/company/blutic-llc,blutic.com,IT Services and IT Consulting,Privately Held,51-200,80,2010,Branchburg,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Commonwealth Sciences, Inc.",https://www.linkedin.com/company/commonwealth-sciences-inc.,cwsciences.com,Staffing and Recruiting,Privately Held,51-200,19,2004,Norwood,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"ITMC Systems, Inc",https://www.linkedin.com/company/itmcsystem,itmcsystems.com,IT Services and IT Consulting,Partnership,201-500,193,2016,Parsippany,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
BestPeers,https://www.linkedin.com/company/bestpeersllc,bestpeers.com,IT Services and IT Consulting,Privately Held,201-500,470,2017,California,USA,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Picus Security,https://www.linkedin.com/company/picus-security,picussecurity.com,Computer and Network Security,Privately Held,201-500,315,2013,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
First Line Software,https://www.linkedin.com/company/first-line-software-inc,firstlinesoftware.com,IT System Custom Software Development,Privately Held,201-500,322,2010,Cambridge,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
CloudIngest,https://www.linkedin.com/company/cloudingest,cloudingest.com,IT Services and IT Consulting,Privately Held,51-200,57,-,Alpharetta,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Virtana Corp.,https://www.linkedin.com/company/virtanacorps,virtana.com,Software Development,Privately Held,201-500,161,2008,Palo Alto,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
MassDevice,https://www.linkedin.com/company/massdevice,massdevice.com,Book and Periodical Publishing,Privately Held,51-200,7,2009,Cleveland,Ohio,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
5WPR,https://www.linkedin.com/company/5w-public-relations,5wpr.com,Public Relations and Communications Services,Privately Held,201-500,403,2003,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Phamily,https://www.linkedin.com/company/jaan-health,phamily.com,Hospitals and Health Care,Privately Held,51-200,197,2013,Cincinnati,Ohio,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Gabeo.ai,https://www.linkedin.com/company/gabeo-ai,gabeo.ai,Hospitals and Health Care,Privately Held,51-200,17,2023,Palo Alto,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
K Health,https://www.linkedin.com/company/khealthinc,khealth.com,Hospitals and Health Care,Privately Held,201-500,389,2016,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
EliseAI,https://www.linkedin.com/company/eliseai,eliseai.com,Software Development,Privately Held,201-500,688,2017,-,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"Triunity Software, Inc.",https://www.linkedin.com/company/triunitysoftware,triunitysoft.com,IT Services and IT Consulting,Privately Held,51-200,29,2021,Iselin,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Nourish,https://www.linkedin.com/company/nourish,margimcdaniel.com,Hospitals and Health Care,Privately Held,201-500,4120,-,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
TigerGraph,https://www.linkedin.com/company/tigergraph,tigergraph.com,Software Development,Privately Held,201-500,127,2012,Redwood City,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Bizagi,https://www.linkedin.com/company/bizagi,bizagi.com,Software Development,Privately Held,201-500,438,1989,-,District of Columbia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Cedar Management Consulting International,https://www.linkedin.com/company/cedar-management-consulting-international-llc,cedar-consulting.com,Business Consulting and Services,Privately Held,51-200,159,1985,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Sapphire Ventures,https://www.linkedin.com/company/sapphirevc,sapphireventures.com,Venture Capital and Private Equity Principals,Partnership,51-200,192,-,Menlo Park,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Tellihealth,https://www.linkedin.com/company/telli-health,tellihealth.com,Hospitals and Health Care,Privately Held,201-500,212,2015,Houston,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Mindbowser Inc,https://www.linkedin.com/company/mindbowser-infosolutions,mindbowser.com,IT Services and IT Consulting,Privately Held,201-500,222,2012,Austin,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Viz.ai,https://www.linkedin.com/company/viz-ai,viz.ai,Hospitals and Health Care,Privately Held,201-500,329,2016,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
SonderMind,https://www.linkedin.com/company/sondermind,sondermind.com,Mental Health Care,Privately Held,201-500,1298,2014,Denver,Colorado,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
iVisa,https://www.linkedin.com/company/ivisa,ivisa.com,Information Technology and Services,Privately Held,51-200,390,2012,Remote First,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
National Association of Boards of Pharmacy,https://www.linkedin.com/company/national-association-of-boards-of-pharmacy,nabp.pharmacy,Non-profit Organizations,Nonprofit,51-200,326,1904,Mount Prospect,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Anumana,https://www.linkedin.com/company/anumana-ai,anumana.ai,Technology; Information and Internet,Privately Held,51-200,163,2021,Cambridge,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
